Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,obs_record1,obs_record2,obs_record3
Disporum sessile,11.9917,11,11.9625,25.95,2.8,1263,173,FALSE,GBIF_CURRENT=1479,,PLANTSEARCH=37
Distylium racemosum,11.9917,9,15.4088,28.714,6.25583,1623.25,175.5,TRUE,GBIF_BGCI=439,GBIF_CURRENT=280,
Dodecatheon austrofrigidum,11.9917,6,11.1049,25,6.89167,1535.25,105.5,FALSE,GBIF_CURRENT=21,,PLANTSEARCH=3
Dodecatheon dentatum,11.9917,3,7.47778,24.1,-2.28333,798.5,116.75,FALSE,GBIF_CURRENT=205,,PLANTSEARCH=23
Dodecatheon hendersonii,11.9917,11,12.4,26.35,4.7625,762.75,68,FALSE,GBIF_CURRENT=7683,,PLANTSEARCH=23
Dodecatheon jeffreyanum,11.9917,6,8.02362,25.85,2.625,1002,106,FALSE,GBIF_CURRENT=1628,,PLANTSEARCH=1
Dodecatheon pulchellum,11.9917,5,6.98472,24,-0.595832,647.5,111,FALSE,GBIF_CURRENT=5269,,PLANTSEARCH=43
Doellingeria umbellata,11.9917,9,7.05278,24.95,-3.51667,972,183,FALSE,GBIF_CURRENT=8412,,PLANTSEARCH=41
Doronicum orientale,11.9917,6,7.60278,22.3,0.0458326,662.5,117,FALSE,GBIF_CURRENT=2288,,PLANTSEARCH=61
Draba aizoides,11.9917,5,5.90972,20.65,-0.9875,1064.5,202,FALSE,GBIF_CURRENT=4253,,PLANTSEARCH=65
Draba araratica,11.9917,2,0.152779,16.85,-6.41667,373.5,66.5,FALSE,GBIF_CURRENT=7,,PLANTSEARCH=3
Draba bruniifolia,11.9917,5,4.91667,21.275,-3.35,692.5,109.25,FALSE,GBIF_CURRENT=84,,PLANTSEARCH=28
Draba korabensis,11.9917,2,8.10833,22.4,0.166667,797,129,FALSE,GBIF_CURRENT=1,PLANTSEARCH=6,
Draba lasiocarpa,11.9917,6,9.21597,23.475,1.20417,723.25,116.75,FALSE,GBIF_CURRENT=232,,PLANTSEARCH=33
Draba olgae,11.9917,8,3.44583,22.15,-6.44167,538.5,61.5,FALSE,GBIF_CURRENT=28,,PLANTSEARCH=2
Draba rigida,11.9917,2,3.50972,19.3,-3.08333,859.25,163.5,FALSE,GBIF_CURRENT=151,,PLANTSEARCH=22
Draba sakuraii,11.9917,3,6.40972,22.85,-2.54167,1285.5,151,FALSE,GBIF_CURRENT=34,,PLANTSEARCH=10
Draba subcapitata,11.9917,2,2.87222,12.75,-4.225,244,29,FALSE,GBIF_CURRENT=3,,PLANTSEARCH=2
Dracunculus vulgaris,11.9917,11,13.1181,26.55,5.89167,728.75,107.75,FALSE,GBIF_CURRENT=2637,,PLANTSEARCH=110
Draperia systyla,11.9917,8,10.9736,26.9,5.975,887,20.5,FALSE,GBIF_CURRENT=522,,PLANTSEARCH=5
Drimys aromatica,11.9917,9,10.0625,20.2,5.95833,1040,199,FALSE,GBIF_CURRENT=6317,,PLANTSEARCH=3
Drimys winteri,11.9917,11,10.6717,23.4705,6.08034,849.5,92,TRUE,GBIF_BGCI=143,GBIF_CURRENT=195,
Dryas integrifolia,11.9917,6,-1.92639,19.3,0.845834,518,92.25,FALSE,GBIF_CURRENT=2704,,PLANTSEARCH=11
Dryas octopetala,11.9917,6,4.14028,19.2,-1.90833,918.75,162.25,FALSE,GBIF_CURRENT=9010,,PLANTSEARCH=111
Dryopteris carthusiana,11.9917,6,7.86944,23.25,-0.983333,745.5,133.5,FALSE,GBIF_CURRENT=9502,,PLANTSEARCH=98
Dryopteris clintoniana,11.9917,9,8.14027,25.85,-1.975,1027,192,FALSE,GBIF_CURRENT=597,,PLANTSEARCH=32
Dryopteris crassirhizoma,11.9917,9,9.36806,26.45,-0.433333,1192.25,165.75,FALSE,GBIF_CURRENT=3956,,PLANTSEARCH=60
Dryopteris cristata,11.9917,6,7.43056,24.05,-1.69167,811.5,148,FALSE,GBIF_CURRENT=4755,,PLANTSEARCH=58
Dryopteris cycadina,11.9917,11,12.3875,26.55,4.13333,1427.5,183,FALSE,GBIF_CURRENT=967,,PLANTSEARCH=56
Dryopteris erythrosora,11.9917,9,13.2319,28.1,4.29167,1240,186,FALSE,GBIF_CURRENT=4886,,PLANTSEARCH=128
Dryopteris expansa,11.9917,6,6.76111,22.35,-0.524998,853.5,136.5,FALSE,GBIF_CURRENT=9539,,PLANTSEARCH=45
Dryopteris filix-mas,11.9917,6,8.34861,23,1.01667,766.5,143.5,FALSE,GBIF_CURRENT=7629,,PLANTSEARCH=148
Dryopteris goldieana,11.9917,9,8.12083,25.475,-1.30416,1006.75,198.25,FALSE,GBIF_CURRENT=1038,,PLANTSEARCH=14
Dryopteris intermedia,11.9917,9,8.17916,27.5,-2.45,1063,213.5,FALSE,GBIF_CURRENT=9804,,PLANTSEARCH=44
Dryopteris juxtaposita,11.9917,11,13.4396,25.8,7.40417,823.25,61.25,FALSE,GBIF_CURRENT=71,,PLANTSEARCH=7
Dryopteris marginalis,11.9917,9,9.09932,27.85,-1.41667,1022,199,FALSE,GBIF_CURRENT=9643,,PLANTSEARCH=87
Dryopteris nigropaleacea,11.9917,6,16.2347,29.2,6.80417,1053,134,FALSE,GBIF_CURRENT=5,,PLANTSEARCH=8
Dryopteris sieboldii,11.9917,9,13.7708,26.975,4.9625,1460.5,188.25,FALSE,GBIF_CURRENT=373,,PLANTSEARCH=64
Dryopteris stewartii,11.9917,11,12.5986,25.8,4.12083,794,120.25,FALSE,GBIF_CURRENT=41,,PLANTSEARCH=26
Dryopteris sublacera,11.9917,11,13.0111,25.525,4.70833,909.5,102.75,FALSE,GBIF_CURRENT=111,,PLANTSEARCH=14
Dryopteris wallichiana,11.9917,11,11.816,21.65,7.33334,1152.75,133.5,FALSE,GBIF_CURRENT=2209,,PLANTSEARCH=69
Dudleya cymosa,11.9917,9,14.5521,28.775,8.82917,625.5,10.5,FALSE,GBIF_CURRENT=4555,,PLANTSEARCH=19
Dypsis decipiens,11.9917,2,18.4703,27.3667,14.4056,1374.83,55,TRUE,GBIF_BGCI=48,,GBIF_CURRENT=58
Dysosma delavayi,11.9917,11,13.3507,24.7,4.78333,1012.5,79.5,FALSE,GBIF_CURRENT=30,,PLANTSEARCH=4
Dysosma pleiantha,11.9917,9,15.1028,26.65,7.56667,1774,180,FALSE,GBIF_CURRENT=338,,PLANTSEARCH=13
Ebracteola fulleri,11.9917,9,16.2611,29.325,8.76667,364.75,53.5,FALSE,GBIF_CURRENT=12,,PLANTSEARCH=7
Echinacea angustifolia,11.9917,11,11.0174,28.475,0.675002,705.5,102.5,FALSE,GBIF_CURRENT=2484,,PLANTSEARCH=72
Echinacea pallida,11.9917,11,11.3062,28.65,-0.0166665,909.5,143.25,FALSE,GBIF_CURRENT=2783,,PLANTSEARCH=120
Echinacea purpurea,11.9917,11,10.2194,28.025,0.120835,913,164.75,FALSE,GBIF_CURRENT=8184,,PLANTSEARCH=207
Echinocereus coccineus,11.9917,9,13.966,29.925,4.675,578.75,81,FALSE,GBIF_CURRENT=7334,,PLANTSEARCH=44
Echinocereus reichenbachii,11.9917,9,16.6833,31.7,6.64166,764,121.5,FALSE,GBIF_CURRENT=5703,,PLANTSEARCH=44
Echinocereus triglochidiatus,11.9917,11,10.9347,29.25,1.56666,489.5,83,FALSE,GBIF_CURRENT=6005,,PLANTSEARCH=63
Echium amoenum,11.9917,11,10.8083,26.825,0.758333,647.5,96.75,FALSE,GBIF_CURRENT=19,,PLANTSEARCH=18
Echium vulgare,11.9917,8,9.39375,23.6,1.77083,759,142.25,FALSE,GBIF_CURRENT=7646,,PLANTSEARCH=99
Echium wildpretii,11.9917,9,10.6681,24.2,4.96667,583.5,73.5,FALSE,GBIF_CURRENT=728,,PLANTSEARCH=82
Edgeworthia chrysantha,11.9917,9,13.6972,28.65,4.31667,1298.75,166.25,FALSE,GBIF_CURRENT=609,,PLANTSEARCH=88
Edraianthus dalmaticus,11.9917,11,9.97083,25.75,2.34167,780,140,FALSE,GBIF_CURRENT=6,,PLANTSEARCH=26
Edraianthus graminifolius,11.9917,6,7.18611,21.95,-0.0166667,845,156,FALSE,GBIF_CURRENT=325,,PLANTSEARCH=54
Edraianthus pumilio,11.9917,3,10.2188,24.8,1.02083,832.75,149.75,FALSE,GBIF_CURRENT=5,,PLANTSEARCH=40
Edraianthus wettsteinii,11.9917,11,12.109,28.05,2.7125,1012.75,125,FALSE,GBIF_CURRENT=4,,PLANTSEARCH=2
Ehretia dicksonii,11.9917,9,15.8301,29.1823,7.72793,1379.88,125,TRUE,GBIF_BGCI=243,GBIF_CURRENT=115,
Elaeagnus commutata,11.9917,6,5.57083,23.175,-3.42083,619,106.75,FALSE,GBIF_CURRENT=4888,,PLANTSEARCH=65
Elaeagnus glabra,11.9917,9,15.1743,28.475,6.64167,1325.25,140.75,FALSE,GBIF_CURRENT=1407,,PLANTSEARCH=11
Elaeagnus macrophylla,11.9917,9,13.7035,27.6,4.95,1337,169.75,FALSE,GBIF_CURRENT=1067,,PLANTSEARCH=29
Elaeagnus pungens,11.9917,9,15.5295,30.563,5.4825,1235.62,167.75,TRUE,GBIF_BGCI=468,GBIF_CURRENT=1370,
Elaeagnus umbellata,11.9917,11,10.3014,26.55,1.26666,951,190,FALSE,GBIF_CURRENT=9765,,PLANTSEARCH=111
Eleutherococcus giraldii,11.9917,11,9.48333,23.775,2.2,691.25,68.75,FALSE,GBIF_CURRENT=144,,PLANTSEARCH=11
Elliottia bracteata,11.9917,5,5.975,22.2,-2,1251,191.5,FALSE,GBIF_CURRENT=487,,PLANTSEARCH=7
Elliottia paniculata,11.9917,8,9.82362,25,-0.375,1263.25,191.5,FALSE,GBIF_CURRENT=1340,,PLANTSEARCH=12
Elliottia pyroliflora,11.9917,9,6.85903,20.125,1.30417,1478.5,183.75,FALSE,GBIF_CURRENT=1179,,PLANTSEARCH=7
Elliottia racemosa,11.9917,9,16.7385,32.4,7.17222,1186.33,232,TRUE,GBIF_BGCI=9,GBIF_CURRENT=3,
Elmera racemosa,11.9917,2,4.77361,20.275,-1.60417,1564.75,177,FALSE,GBIF_CURRENT=216,,PLANTSEARCH=19
Elsholtzia stauntonii,11.9917,11,11.5569,26.825,1.50417,695.75,85.25,FALSE,GBIF_CURRENT=134,,PLANTSEARCH=71
Elymus glaucus,11.9917,11,11.25,26.1,4.64167,676.25,47.75,FALSE,GBIF_CURRENT=4877,,PLANTSEARCH=28
Elymus hystrix,11.9917,11,10.3139,28.9,-1.025,982,187.5,FALSE,GBIF_CURRENT=7438,,PLANTSEARCH=41
Elymus magellanicus,11.9917,9,7.54446,19.25,2.99583,599,109.75,FALSE,GBIF_CURRENT=107,,PLANTSEARCH=14
Embothrium coccineum,11.9917,9,8.17755,19.4693,3.43322,1146.83,178,TRUE,GBIF_BGCI=131,GBIF_CURRENT=286,
Emmenopterys henryi,11.9917,9,15.6483,30.465,5.51642,1265.75,126.875,TRUE,GBIF_BGCI=118,GBIF_CURRENT=65,
Empetrum nigrum,11.9917,3,6.5375,21.5,-0.466668,785,142.5,FALSE,GBIF_CURRENT=6098,,PLANTSEARCH=64
Empetrum rubrum,11.9917,6,7.04167,18.9,2.70833,712.25,122,FALSE,GBIF_CURRENT=698,,PLANTSEARCH=18
Endotropis alnifolia,11.9917,2,6.35694,25.225,-6.10417,929.5,179.75,FALSE,GBIF_CURRENT=70,,PLANTSEARCH=1
Enemion biternatum,11.9917,11,10.35,29.3,-1.4,962.5,166.5,FALSE,GBIF_CURRENT=5140,,PLANTSEARCH=20
Enkianthus campanulatus,11.9917,9,9.07504,24.7113,0.0361111,1498.67,170.167,TRUE,GBIF_BGCI=495,GBIF_CURRENT=417,
Enkianthus cernuus,11.9917,11,10.9667,26.375,1.7125,1499.25,202.25,FALSE,GBIF_CURRENT=548,,PLANTSEARCH=10
Enkianthus chinensis,11.9917,8,14.1948,27.1333,5.28055,1066.67,98.3333,TRUE,GBIF_BGCI=295,GBIF_CURRENT=99,
Enkianthus deflexus,11.9917,11,11.48,22.6187,3.692,949,88.6667,TRUE,GBIF_BGCI=319,GBIF_CURRENT=125,
Enkianthus perulatus,11.9917,11,13.2688,27.925,4.225,1265.25,187.5,FALSE,GBIF_CURRENT=182,,PLANTSEARCH=69
Ephedra breana,11.9917,11,11.3313,24.05,7.29167,414,58.75,FALSE,GBIF_CURRENT=95,,PLANTSEARCH=6
Ephedra chilensis,11.9917,11,11.4556,24,5.225,588.25,75,FALSE,GBIF_CURRENT=379,,PLANTSEARCH=38
Ephedra equisetina,11.9917,9,7.325,25.8,-3.175,553,81.5,FALSE,GBIF_CURRENT=334,,PLANTSEARCH=56
Ephedra foeminea,11.9917,11,13.7903,27.35,6.025,631,75,FALSE,GBIF_CURRENT=2721,,PLANTSEARCH=25
Ephedra frustillata,11.9917,5,8.32222,21.35,2.25833,442,85.75,FALSE,GBIF_CURRENT=85,,PLANTSEARCH=11
Ephedra gerardiana,11.9917,5,3.72361,20.6,-3.81667,521.5,85.5,FALSE,GBIF_CURRENT=310,,PLANTSEARCH=32
Ephedra intermedia,11.9917,8,8.1375,25.325,-1.9875,517.5,71.25,FALSE,GBIF_CURRENT=482,,PLANTSEARCH=32
Ephedra likiangensis,11.9917,11,8.88472,22.2,1.70417,753.25,79,FALSE,GBIF_CURRENT=51,,PLANTSEARCH=18
Ephedra monosperma,11.9917,9,2.5625,23.6,-8.25833,535.5,82,FALSE,GBIF_CURRENT=1089,,PLANTSEARCH=26
Ephedra procera,11.9917,11,9.8625,25.65,0.274998,595.75,96.5,FALSE,GBIF_CURRENT=200,,PLANTSEARCH=11
Epigaea repens,11.9917,9,7.96944,26.1,-2.075,1100.5,241.5,FALSE,GBIF_CURRENT=9720,,PLANTSEARCH=28
Epilobium canum,11.9917,9,14.5445,27.25,9.06667,581,21,FALSE,GBIF_CURRENT=9356,,PLANTSEARCH=38
Epimedium acuminatum,11.9917,9,14.4264,27.15,5.55417,1057,113.25,FALSE,GBIF_CURRENT=61,,PLANTSEARCH=45
Epimedium baiealiguizhouense,11.9917,2,14.6542,27.2,5.25,1026.25,119.5,FALSE,PLANTSEARCH=1,GBIF_CURRENT=2,
Epimedium brevicornu,11.9917,11,11.3854,26.35,1.74583,773,90.75,FALSE,GBIF_CURRENT=106,,PLANTSEARCH=19
Epimedium davidii,11.9917,9,13.1736,25.525,4.68333,954.75,102.75,FALSE,GBIF_CURRENT=51,,PLANTSEARCH=42
Epimedium dolichostemon,11.9917,8,13.1951,26,4.24167,1115.5,124.5,FALSE,GBIF_CURRENT=6,,PLANTSEARCH=17
Epimedium ecalcaratum,11.9917,9,14.8833,26.125,5.99583,1218,113,FALSE,GBIF_CURRENT=2,,PLANTSEARCH=7
Epimedium epsteinii,11.9917,11,12.7319,25.675,4.9125,1142.25,142.5,FALSE,GBIF_CURRENT=3,,PLANTSEARCH=30
Epimedium fangii,11.9917,9,14.5361,26,5.55833,1183.25,110.75,FALSE,GBIF_CURRENT=5,,PLANTSEARCH=6
Epimedium fargesii,11.9917,9,13.5903,27.6,4.6,1014.5,111.5,FALSE,GBIF_CURRENT=15,,PLANTSEARCH=23
Epimedium franchetii,11.9917,9,13.8625,28.1,3.68333,1103,118,FALSE,GBIF_CURRENT=16,,PLANTSEARCH=23
Epimedium grandiflorum,11.9917,11,11.0701,25.625,1.99167,1136.25,156.75,FALSE,GBIF_CURRENT=526,,PLANTSEARCH=61
Epimedium hunanense,11.9917,9,14.925,27.65,5.14167,1117.5,150.75,FALSE,GBIF_CURRENT=20,,PLANTSEARCH=7
Epimedium ilicifolium,11.9917,9,13.5583,27.25,4.2125,945.75,99.75,FALSE,GBIF_CURRENT=5,,PLANTSEARCH=16
Epimedium koreanum,11.9917,8,9.66111,25.75,-1.74167,1188,165,FALSE,GBIF_CURRENT=404,,PLANTSEARCH=28
Epimedium latisepalum,11.9917,8,9.79721,24.025,1.7375,872.5,162.25,FALSE,GBIF_CURRENT=2,,PLANTSEARCH=13
Epimedium leptorrhizum,11.9917,9,14.0486,27,5.23333,1038.5,118.5,FALSE,GBIF_CURRENT=30,,PLANTSEARCH=32
Epimedium mikinorii,11.9917,6,14.5042,27.4,5.175,1182,129,FALSE,GBIF_CURRENT=1,,PLANTSEARCH=9
Epimedium myrianthum,11.9917,9,15.0465,28.075,5.25,1176.75,153,FALSE,GBIF_CURRENT=12,,PLANTSEARCH=21
Epimedium ogisui,11.9917,6,12.8903,25,4.91667,1046,108,FALSE,GBIF_CURRENT=1,,PLANTSEARCH=17
Epimedium pauciflorum,11.9917,9,10.1736,22.7,3.01666,812.5,94.5,FALSE,GBIF_CURRENT=4,,PLANTSEARCH=18
Epimedium perralderianum,11.9917,6,9.83888,22.85,3.33334,749,148.5,FALSE,GBIF_CURRENT=16,,PLANTSEARCH=32
Epimedium pinnatum,11.9917,11,11.857,24.6,4.22083,1243.5,239,FALSE,GBIF_CURRENT=208,,PLANTSEARCH=30
Epimedium pseudowushanense,11.9917,2,12.7236,24.7,4.43333,985.5,115,FALSE,GBIF_CURRENT=1,,PLANTSEARCH=1
Epimedium pubescens,11.9917,9,13.3333,26.975,4.325,919.75,97.25,FALSE,GBIF_CURRENT=44,,PLANTSEARCH=21
Epimedium pubigerum,11.9917,11,10.1021,24.7,2.10833,692.75,122.5,FALSE,GBIF_CURRENT=10,,PLANTSEARCH=51
Epimedium sagittatum,11.9917,9,15.4403,29.225,5.42083,1178.25,138,FALSE,GBIF_CURRENT=165,,PLANTSEARCH=28
Epimedium sempervirens,11.9917,11,12.2299,29.2,2.375,1492,272.5,FALSE,GBIF_CURRENT=385,,PLANTSEARCH=13
Epimedium stellulatum,11.9917,11,13.4056,30.7,3.18333,1035.5,142.25,FALSE,GBIF_CURRENT=7,,PLANTSEARCH=25
Epimedium truncatum,11.9917,9,9.75833,24.4,3.21667,1073,178,FALSE,GBIF_CURRENT=1,PLANTSEARCH=8,
Epimedium wushanense,11.9917,9,13.8833,27.325,4.95,1118,119,FALSE,GBIF_CURRENT=24,,PLANTSEARCH=31
Epimedium zhushanense,11.9917,9,13.7125,27.1,3.66667,941.5,112,FALSE,GBIF_CURRENT=2,,PLANTSEARCH=14
Epipactis gigantea,11.9917,11,11.9542,27.275,5.15,649,82.5,FALSE,GBIF_CURRENT=2083,,PLANTSEARCH=55
Equisetum fluviatile,11.9917,6,8.07083,22.1,0.733332,695.75,119,FALSE,GBIF_CURRENT=8363,,PLANTSEARCH=36
Equisetum scirpoides,11.9917,9,4.52916,22.35,-3.13333,735,124,FALSE,GBIF_CURRENT=7942,,PLANTSEARCH=56
Equisetum telmateia,11.9917,11,10.2424,23.875,3.90833,809,145.25,FALSE,GBIF_CURRENT=7462,,PLANTSEARCH=32
Eragrostis curvula,11.9917,9,15.1076,26.425,7.75833,785.75,142.5,FALSE,GBIF_CURRENT=8334,,PLANTSEARCH=40
Eragrostis spectabilis,11.9917,11,11.7639,29.8,0.891667,1009.5,182.5,FALSE,GBIF_CURRENT=2230,,PLANTSEARCH=78
Eranthis cilicica,11.9917,5,8.77222,22.55,1.39166,692,129,FALSE,GBIF_CURRENT=259,,PLANTSEARCH=48
Eranthis hyemalis,11.9917,6,9.65833,23.6,1.625,785.5,151.5,FALSE,GBIF_CURRENT=8241,,PLANTSEARCH=142
Eremogone gypsophiloides,11.9917,5,7.54653,23.725,-1.34583,646.75,111,FALSE,GBIF_CURRENT=48,,PLANTSEARCH=3
Eremogone hookeri,11.9917,5,8.44861,27.5,-1.35417,581.5,94.5,FALSE,GBIF_CURRENT=667,,PLANTSEARCH=6
Eremurus himalaicus,11.9917,8,7.50138,23.275,-0.529165,715.5,113,FALSE,GBIF_CURRENT=33,,PLANTSEARCH=41
Eremurus regelii,11.9917,8,8.39028,25.75,-1.64583,620,79,FALSE,GBIF_CURRENT=85,,PLANTSEARCH=12
Eremurus zenaidae,11.9917,11,8.97223,26.475,-0.983333,630.5,100.25,FALSE,GBIF_CURRENT=5,,PLANTSEARCH=7
Erica arborea,11.9917,11,13.3003,25.4935,8.55083,814.5,87.75,TRUE,GBIF_BGCI=29767,GBIF_CURRENT=16075,
Erica carnea,11.9917,6,7.60417,22.2,-0.0375009,1007.25,181.75,FALSE,GBIF_CURRENT=5107,,PLANTSEARCH=61
Erica cinerea,11.9917,11,10.2486,22.275,4.40417,888.75,154.5,FALSE,GBIF_CURRENT=8557,,PLANTSEARCH=46
Erica spiculifolia,11.9917,5,6.04861,21.2,-1.25417,749.75,125.25,FALSE,GBIF_CURRENT=134,,PLANTSEARCH=16
Erica tetralix,11.9917,6,8.475,21.65,2.0375,783.25,148.5,FALSE,GBIF_CURRENT=4572,,PLANTSEARCH=68
Erigeron glaucus,11.9917,11,11.5472,23.15,6.25,824.5,118,FALSE,GBIF_CURRENT=9486,,PLANTSEARCH=44
Erigeron karvinskianus,11.9917,11,11.7958,24.25,5.8,759.5,139.5,FALSE,GBIF_CURRENT=8674,,PLANTSEARCH=73
Erigeron linearis,11.9917,9,8.38194,27.5,-0.341667,589.5,100,FALSE,GBIF_CURRENT=1801,,PLANTSEARCH=18
Erigeron miyabeanus,11.9917,2,3.425,19.35,-8.3,909,146,FALSE,GBIF_CURRENT=7,,PLANTSEARCH=1
Erigeron peregrinus,11.9917,9,5.25279,22.05,-2.03333,871.5,153.25,FALSE,GBIF_CURRENT=969,,PLANTSEARCH=11
Erigeron scopulinus,11.9917,6,9.24792,24.675,1.45833,721,102.75,FALSE,GBIF_CURRENT=4,,PLANTSEARCH=22
Erigeron speciosus,11.9917,6,6.4375,23.975,-1.60833,577.25,109.5,FALSE,GBIF_CURRENT=3915,,PLANTSEARCH=47
Erinacea anthyllis,11.9917,8,9.92708,26.2,2.85834,647,99,FALSE,GBIF_CURRENT=7569,,PLANTSEARCH=33
Erinus alpinus,11.9917,6,8.62847,22.525,1.55,981,187.25,FALSE,GBIF_CURRENT=5834,,PLANTSEARCH=89
Eriocapitella hupehensis,11.9917,11,10.1604,22.975,3.9625,812,130.75,FALSE,GBIF_CURRENT=1789,,PLANTSEARCH=6
Eriocapitella rivularis,11.9917,11,10.2681,24.025,2.95,760.5,61.75,FALSE,GBIF_CURRENT=356,,PLANTSEARCH=4
Eriodictyon californicum,11.9917,8,14.1299,30.075,8.35833,809.75,36.25,FALSE,GBIF_CURRENT=6073,,PLANTSEARCH=6
Eriogonum caespitosum,11.9917,9,7.78471,27.45,-0.0333334,569.5,81,FALSE,GBIF_CURRENT=1216,,PLANTSEARCH=14
Eriogonum compositum,11.9917,9,9.67362,26.5,2,760.5,95.5,FALSE,GBIF_CURRENT=1353,,PLANTSEARCH=13
Eriogonum giganteum,11.9917,9,15.9174,26.3,11.8625,439.5,7,FALSE,GBIF_CURRENT=612,,PLANTSEARCH=26
Eriogonum heracleoides,11.9917,9,7.97779,26.025,-0.499998,533,100,FALSE,GBIF_CURRENT=3215,,PLANTSEARCH=16
Eriogonum jamesii,11.9917,11,10.0403,26.7,0.800001,527.25,81.25,FALSE,GBIF_CURRENT=1795,,PLANTSEARCH=17
Eriogonum niveum,11.9917,9,9.09028,28.75,-0.458333,480.5,69,FALSE,GBIF_CURRENT=940,,PLANTSEARCH=8
Eriogonum nudum,11.9917,11,12.6778,28.45,7.375,775.5,16.5,FALSE,GBIF_CURRENT=5516,,PLANTSEARCH=12
Eriogonum ovalifolium,11.9917,9,7.80277,26.45,-0.549999,571.25,98.5,FALSE,GBIF_CURRENT=4998,,PLANTSEARCH=19
Eriogonum pulchrum,11.9917,11,11.8076,31.9,1.37917,573.25,95.25,FALSE,GBIF_CURRENT=47,,PLANTSEARCH=3
Eriogonum siskiyouense,11.9917,9,7.87709,24.65,2.475,1012,94.25,FALSE,GBIF_CURRENT=95,,PLANTSEARCH=11
Eriogonum sphaerocephalum,11.9917,5,8.4,30.1,-0.833333,334.5,42,FALSE,GBIF_CURRENT=908,,
Eriogonum thymoides,11.9917,6,9.23194,27.3,-0.0791659,494.5,84.25,FALSE,GBIF_CURRENT=471,,PLANTSEARCH=13
Eriogonum umbellatum,11.9917,6,7.10833,25,-0.216665,609,92,FALSE,GBIF_CURRENT=8451,,PLANTSEARCH=58
Eriogonum vimineum,11.9917,8,10.3972,30.75,1.21667,749.5,138,FALSE,GBIF_CURRENT=1050,,PLANTSEARCH=2
Eriophorum chamissonis,11.9917,9,1.98195,22.525,-6.7875,699.25,108.25,FALSE,GBIF_CURRENT=2170,,PLANTSEARCH=6
Eriophorum vaginatum,11.9917,6,6.4125,21.85,-1.05833,772,144.75,FALSE,GBIF_CURRENT=7394,,PLANTSEARCH=53
Eriophyllum lanatum,11.9917,11,9.69722,25.5,2.825,865.75,86,FALSE,GBIF_CURRENT=7612,,PLANTSEARCH=43
Eritrichium canum,11.9917,8,5.12639,20.8,-3.1375,572.75,84.5,FALSE,GBIF_CURRENT=100,,PLANTSEARCH=14
Erodium chrysanthum,11.9917,8,9.41804,23.425,2.6375,858,111.75,FALSE,GBIF_CURRENT=25,,PLANTSEARCH=47
Erodium glandulosum,11.9917,9,9.19027,22.8,3.7875,879.75,154.25,FALSE,GBIF_CURRENT=940,,PLANTSEARCH=7
Erodium manescavi,11.9917,8,9.80694,23.35,3.69167,930,170.5,FALSE,GBIF_CURRENT=116,,PLANTSEARCH=21
Erodium pelargoniiflorum,11.9917,11,11.8667,26.225,5.0875,561,92,FALSE,GBIF_CURRENT=5,,PLANTSEARCH=7
Eryngium agavifolium,11.9917,11,12.6646,25.3,5.5625,738.75,95.75,FALSE,GBIF_CURRENT=66,,PLANTSEARCH=65
Eryngium alpinum,11.9917,6,5.70278,20.525,-0.920834,1028.75,204.5,FALSE,GBIF_CURRENT=4110,,PLANTSEARCH=85
Eryngium amethystinum,11.9917,11,10.9222,25.125,2.225,876,158,FALSE,GBIF_CURRENT=1565,,PLANTSEARCH=56
Eryngium bourgatii,11.9917,6,7.90277,22.6,1.39583,960,181.5,FALSE,GBIF_CURRENT=4543,,PLANTSEARCH=77
Eryngium eburneum,11.9917,9,14.8,26,8.5375,1037.75,198.75,FALSE,GBIF_CURRENT=193,,PLANTSEARCH=19
Eryngium leavenworthii,11.9917,9,16.0333,33.2,6.07083,870.5,152,FALSE,GBIF_CURRENT=2969,,PLANTSEARCH=14
Eryngium maritimum,11.9917,11,11.2132,22.85,5.4125,725.5,125,FALSE,GBIF_CURRENT=6680,,PLANTSEARCH=74
Eryngium variifolium,11.9917,11,10.7653,25.75,4.20834,661,89.75,FALSE,GBIF_CURRENT=20,,PLANTSEARCH=43
Eryngium yuccifolium,11.9917,11,11.2653,29.35,0.908333,969,168.5,FALSE,GBIF_CURRENT=8900,,PLANTSEARCH=112
Erysimum pulchellum,11.9917,9,9.39932,24.275,1.02083,670.5,113.25,FALSE,GBIF_CURRENT=28,,PLANTSEARCH=21
Erythranthe cardinalis,11.9917,11,14.3132,28.375,8.57917,673.75,35.75,FALSE,GBIF_CURRENT=4671,,PLANTSEARCH=12
Erythranthe guttata,11.9917,11,12.5222,25.75,6.84167,763,42.5,FALSE,GBIF_CURRENT=9568,,PLANTSEARCH=14
Erythranthe lewisii,11.9917,9,5.31251,22.75,-0.362498,803.25,125.5,FALSE,GBIF_CURRENT=4221,,PLANTSEARCH=10
Erythronium americanum,11.9917,9,9.54306,28.25,-1.12917,1028,204.75,FALSE,GBIF_CURRENT=9655,,PLANTSEARCH=65
Erythronium citrinum,11.9917,11,11.4639,27.45,4,1148.5,88,FALSE,GBIF_CURRENT=188,,PLANTSEARCH=10
Erythronium dens-canis,11.9917,11,9.99444,23.875,2.30417,917,166,FALSE,GBIF_CURRENT=8840,,PLANTSEARCH=90
