Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,obs_record1,obs_record2,obs_record3
Acer crataegifolium,11.9917,11,12.1765,26.926,3.10433,1362.67,166.833,TRUE,GBIF_BGCI=757,GBIF_CURRENT=1116,
Acer davidii,11.9917,11,14.162,27.665,5.30233,1090.38,101.5,TRUE,GBIF_BGCI=1319,GBIF_CURRENT=565,
Acer distylum,11.9917,11,10.2297,25.4247,0.824444,1358.83,182.5,TRUE,GBIF_BGCI=212,GBIF_CURRENT=318,
Acer elegantulum,11.9917,11,14.7239,27.3425,5.346,1195.38,123.25,TRUE,GBIF_BGCI=174,GBIF_CURRENT=11,
Acer erianthum,11.9917,8,14.3121,27.704,4.39384,1052.75,78.5,TRUE,GBIF_BGCI=150,GBIF_CURRENT=33,
Acer fabri,11.9917,9,16.9428,30.865,7.46092,1325.75,140.875,TRUE,GBIF_BGCI=428,GBIF_CURRENT=181,
Acer flabellatum,11.9917,9,11.8208,24.4,5.35,832,144,TRUE,PLANTSEARCH=13,,
Acer forrestii,11.9917,11,12.4681,23.375,5.36667,877.75,104.25,TRUE,GBIF_CURRENT=39,,PLANTSEARCH=18
Acer glabrum,11.9917,6,7.58689,25.6305,-0.153629,741.625,98,TRUE,GBIF_BGCI=4980,GBIF_CURRENT=4144,
Acer granatense,11.9917,11,11.7203,28.0913,4.84422,570.833,83.5,TRUE,GBIF_BGCI=1758,GBIF_CURRENT=1911,
Acer grandidentatum,11.9917,11,9.99821,29.5853,1.087,604.167,92.5,TRUE,GBIF_BGCI=422,GBIF_CURRENT=747,
Acer griseum,11.9917,11,12.2643,28.947,1.538,1033.5,165,TRUE,GBIF_BGCI=59,,GBIF_CURRENT=420
Acer henryi,11.9917,9,14.7421,29.9445,4.486,1144.12,124.375,TRUE,GBIF_BGCI=115,GBIF_CURRENT=100,
Acer japonicum,11.9917,9,10.293,25.545,1.71825,1230.88,177.875,TRUE,GBIF_BGCI=615,GBIF_CURRENT=1155,
Acer kawakamii,11.9917,11,12.9254,22.268,7.13433,1883,185,TRUE,GBIF_CURRENT=206,,PLANTSEARCH=13
Acer komarovii,11.9917,6,6.99578,23.29,-4.67533,1076,96.5,TRUE,GBIF_CURRENT=105,,PLANTSEARCH=11
Acer laxiflorum,11.9917,11,13.0424,25.375,4.96667,893.75,84.25,TRUE,GBIF_CURRENT=48,,PLANTSEARCH=22
Acer longipes,11.9917,11,13.8111,29.064,4.48522,1175.33,124.333,TRUE,GBIF_CURRENT=29,,URBANPLANTS=1
Acer macrophyllum,11.9917,11,11.8657,26.078,6.01516,953,90.75,TRUE,GBIF_BGCI=5137,GBIF_CURRENT=6631,
Acer mandshuricum,11.9917,6,5.14167,24.2187,-7.97312,761.333,71.1667,TRUE,GBIF_BGCI=32,GBIF_CURRENT=121,
Acer maximowiczianum,11.9917,11,10.7322,26.4047,0.976332,1378.83,165.167,TRUE,GBIF_BGCI=59,GBIF_CURRENT=121,
Acer maximowiczii,11.9917,11,10.9111,25.525,2.8125,924.5,90,TRUE,GBIF_CURRENT=60,,PLANTSEARCH=17
Acer metcalfii,11.9917,9,16.4667,27.2,7.78749,1176.75,135.75,TRUE,GBIF_CURRENT=15,,PLANTSEARCH=8
Acer micranthum,11.9917,8,9.84439,24.752,0.756333,1451,194.667,TRUE,GBIF_BGCI=468,GBIF_CURRENT=659,
Acer miyabei,11.9917,9,9.10639,26.3735,-1.14289,1103.5,155.25,TRUE,GBIF_BGCI=6,,GBIF_CURRENT=82
Acer monspessulanum,11.9917,11,11.8954,26.083,5.27342,787.625,141.875,TRUE,GBIF_BGCI=12902,GBIF_CURRENT=10756,
Acer morifolium,11.9917,5,14.3886,26.0667,6.58333,2241,362.833,TRUE,GBIF_BGCI=4,GBIF_CURRENT=17,
Acer oblongum,11.9917,9,15.8577,29.52,7.55075,1442.88,118.5,TRUE,GBIF_BGCI=225,GBIF_CURRENT=471,
Acer oliverianum,11.9917,9,14.9029,29.075,5.54625,1159.62,101.5,TRUE,GBIF_BGCI=180,,GBIF_CURRENT=237
Acer opalus,11.9917,9,10.2694,24.559,3.52283,874.25,171.75,TRUE,GBIF_BGCI=16663,GBIF_CURRENT=9556,
Acer palmatum,11.9917,11,12.6186,28.2207,3.3345,1206.62,162.625,TRUE,GBIF_BGCI=1368,GBIF_CURRENT=3474,
Acer pauciflorum,11.9917,9,15.3655,31.2975,5.589,1307.38,152,TRUE,GBIF_BGCI=1,,GBIF_CURRENT=31
Acer pectinatum,11.9917,11,10.4617,21.554,3.449,898.5,103.5,TRUE,GBIF_CURRENT=187,,PLANTSEARCH=22
Acer pensylvanicum,11.9917,6,7.85493,25.971,-3.17463,1061.25,203.75,TRUE,GBIF_BGCI=1785,GBIF_CURRENT=5537,
Acer pentaphyllum,11.9917,11,10.6385,23.2167,3.44167,814.5,58.3333,TRUE,GBIF_BGCI=21,,GBIF_CURRENT=22
Acer pictum,11.9917,11,11.175,27.0227,1.82644,1007.83,129.167,TRUE,GBIF_CURRENT=2998,,URBANPLANTS=16
Acer pubinerve,11.9917,9,16.0347,30.45,5.84167,1317,159,TRUE,GBIF_CURRENT=18,,PLANTSEARCH=14
Acer rubescens,11.9917,11,12.3557,20.8,7.11667,2326.67,248.333,TRUE,GBIF_BGCI=24,GBIF_CURRENT=20,
Acer rubrum,11.9917,11,10.4939,28.1125,0.434369,1040.75,201.125,TRUE,GBIF_BGCI=5088,GBIF_CURRENT=16491,
Acer rufinerve,11.9917,11,10.4682,24.9151,1.97529,1496.25,186.75,TRUE,GBIF_BGCI=746,GBIF_CURRENT=1311,
Acer saccharum,11.9917,9,8.37007,27.597,-2.65792,992,186,TRUE,GBIF_BGCI=3537,GBIF_CURRENT=8370,
Acer sempervirens,11.9917,9,13.75,26.65,6.69445,693,67.5,TRUE,GBIF_BGCI=62,GBIF_CURRENT=93,
Acer serrulatum,11.9917,9,15.7344,24.777,9.11465,1795.25,205.5,TRUE,GBIF_CURRENT=336,,PLANTSEARCH=14
Acer shirasawanum,11.9917,11,10.0137,24.976,0.769223,1439.17,162.5,TRUE,GBIF_BGCI=432,GBIF_CURRENT=527,
Acer sieboldianum,11.9917,11,11.6611,26.3235,3.32941,1215.75,169.125,TRUE,GBIF_BGCI=725,GBIF_CURRENT=1083,
Acer sikkimense,11.9917,9,16.2521,27.0167,8.19443,1286,108.5,TRUE,GBIF_BGCI=53,GBIF_CURRENT=41,
Acer sinense,11.9917,9,15.9097,30.05,6.225,1266,113,TRUE,GBIF_CURRENT=65,,PLANTSEARCH=20
Acer spicatum,11.9917,6,6.79011,24.6166,-4.15086,1053.62,184.25,TRUE,GBIF_BGCI=1381,GBIF_CURRENT=3433,
Acer stachyophyllum,11.9917,11,11.1615,22.4,3.00555,940.667,88,TRUE,GBIF_BGCI=204,GBIF_CURRENT=95,
Acer sterculiaceum,11.9917,11,13.3267,25.3933,4.994,1066.83,93.6667,TRUE,GBIF_BGCI=354,GBIF_CURRENT=112,
Acer tataricum,11.9917,11,8.94371,25.9118,-1.13375,767.75,125.625,TRUE,GBIF_BGCI=392,GBIF_CURRENT=4162,
Acer tegmentosum,11.9917,6,10.8869,23.8022,2.18674,857.75,78,TRUE,URBANPLANTS=3,PLANTSEARCH=91,
Acer triflorum,11.9917,9,8.93116,26.201,-2.68625,987.25,104.5,TRUE,GBIF_BGCI=24,GBIF_CURRENT=48,
Acer truncatum,11.9917,11,11.8419,29.1695,-0.345584,728.625,76.375,TRUE,GBIF_BGCI=87,GBIF_CURRENT=119,
