Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Acer maximowiczii,11.9917,11,10.9111,25.525,2.8125,924.5,90.0,True,17,,60,
Acer metcalfii,11.9917,9,16.4667,27.2,7.78749,1176.75,135.75,True,8,,15,
Acer micranthum,11.9917,8,9.84439,24.752,0.756333,1451.0,194.667,True,,,659,468
Acer miyabei,11.9917,9,9.10639,26.3735,-1.14289,1103.5,155.25,True,,,82,6
Acer monspessulanum,11.9917,11,11.8954,26.083,5.27342,787.625,141.875,True,,,10756,12902
Acer morifolium,11.9917,5,14.3886,26.0667,6.58333,2241.0,362.833,True,,,17,4
Acer oblongum,11.9917,9,15.8577,29.52,7.55075,1442.88,118.5,True,,,471,225
Acer oliverianum,11.9917,9,14.9029,29.075,5.54625,1159.62,101.5,True,,,237,180
Acer opalus,11.9917,9,10.2694,24.559,3.52283,874.25,171.75,True,,,9556,16663
Acer palmatum,11.9917,11,12.6186,28.2207,3.3345,1206.62,162.625,True,,,3474,1368
Acer pauciflorum,11.9917,9,15.3655,31.2975,5.589,1307.38,152.0,True,,,31,1
Acer pectinatum,11.9917,11,10.4617,21.554,3.449,898.5,103.5,True,22,,187,
Acer pensylvanicum,11.9917,6,7.85493,25.971,-3.17463,1061.25,203.75,True,,,5537,1785
Acer pentaphyllum,11.9917,11,10.6385,23.2167,3.44167,814.5,58.3333,True,,,22,21
Acer pictum,11.9917,11,11.175,27.0227,1.82644,1007.83,129.167,True,,16,2998,
Acer pubinerve,11.9917,9,16.0347,30.45,5.84167,1317.0,159.0,True,14,,18,
Acer rubescens,11.9917,11,12.3557,20.8,7.11667,2326.67,248.333,True,,,20,24
Acer rubrum,11.9917,11,10.4939,28.1125,0.434369,1040.75,201.125,True,,,16491,5088
Acer rufinerve,11.9917,11,10.4682,24.9151,1.97529,1496.25,186.75,True,,,1311,746
Acer saccharum,11.9917,9,8.37007,27.597,-2.65792,992.0,186.0,True,,,8370,3537
Acer sempervirens,11.9917,9,13.75,26.65,6.69445,693.0,67.5,True,,,93,62
Acer serrulatum,11.9917,9,15.7344,24.777,9.11465,1795.25,205.5,True,14,,336,
Acer shirasawanum,11.9917,11,10.0137,24.976,0.769223,1439.17,162.5,True,,,527,432
Acer sieboldianum,11.9917,11,11.6611,26.3235,3.32941,1215.75,169.125,True,,,1083,725
Acer sikkimense,11.9917,9,16.2521,27.0167,8.19443,1286.0,108.5,True,,,41,53
Acer sinense,11.9917,9,15.9097,30.05,6.225,1266.0,113.0,True,20,,65,
Acer spicatum,11.9917,6,6.79011,24.6166,-4.15086,1053.62,184.25,True,,,3433,1381
Acer stachyophyllum,11.9917,11,11.1615,22.4,3.00555,940.667,88.0,True,,,95,204
Acer sterculiaceum,11.9917,11,13.3267,25.3933,4.994,1066.83,93.6667,True,,,112,354
Acer tataricum,11.9917,11,8.94371,25.9118,-1.13375,767.75,125.625,True,,,4162,392
Acer tegmentosum,11.9917,6,10.8869,23.8022,2.18674,857.75,78.0,True,91,3,,
Acer triflorum,11.9917,9,8.93116,26.201,-2.68625,987.25,104.5,True,,,48,24
Acer truncatum,11.9917,11,11.8419,29.1695,-0.345584,728.625,76.375,True,,,119,87
Acer tsinglingense,11.9917,11,11.1722,27.95,1.18333,840.0,92.0,True,14,,6,
Acer velutinum,11.9917,11,12.7547,27.324,4.974,737.0,108.25,True,,,22,5
Acer wilsonii,11.9917,9,15.3528,27.2,6.75,1187.5,138.0,True,22,,61,
Achillea barrelieri,11.9917,6,6.26389,20.65,0.208334,769.0,153.25,False,2,,58,
Achillea clavennae,11.9917,6,4.90694,19.275,-1.31667,1115.5,206.75,False,32,,1821,
Achillea clypeolata,11.9917,11,10.5097,25.9,1.88334,655.0,120.5,False,38,,76,
Achillea filipendulina,11.9917,11,10.2937,24.825,3.09167,697.0,127.75,False,74,,8786,
Achillea millefolium,11.9917,11,10.275,25.05,3.25833,801.0,132.0,False,247,,8613,
Achillea ptarmica,11.9917,9,8.36528,22.7,1.53334,770.5,143.5,False,94,,6839,
Achlys triphylla,11.9917,6,9.69307,23.05,3.24167,1231.0,129.5,False,22,,5881,
Aciphylla aurea,11.9917,6,8.32778,20.925,3.06667,1247.75,225.5,False,25,,1553,
Aciphylla scott-thomsonii,11.9917,9,7.88196,19.4,3.20833,1540.0,263.0,False,10,,394,
Acis autumnalis,11.9917,9,14.1076,26.6,7.23333,720.0,96.25,False,38,,1319,
Acmella oleracea,11.9917,9,20.6062,28.625,14.05,1176.0,126.5,False,24,,285,
Aconitum anthora,11.9917,5,6.59028,21.75,-0.633334,935.0,183.0,False,39,,3669,
Aconitum carmichaelii,11.9917,11,13.3542,27.625,3.34167,968.5,119.0,False,68,,312,
Aconitum fischeri,11.9917,8,2.65833,21.5,-8.25,788.25,121.5,False,23,,392,
Aconitum jaluense,11.9917,8,8.64375,25.3,-3.325,1190.5,105.0,False,10,,869,
Aconitum japonicum,11.9917,11,10.2521,26.1,0.195833,1257.25,166.5,False,23,,1153,
Aconitum napellus,11.9917,6,6.61528,21.35,0.116667,1021.0,192.5,False,115,,8191,
Aconitum sinomontanum,11.9917,11,11.3111,27.5,0.725,870.0,84.75,False,10,,215,
Acorus calamus,11.9917,9,9.32847,24.025,1.575,806.75,144.0,False,158,,7279,
Acrothamnus colensoi,11.9917,6,8.23194,21.7,1.825,1358.0,245.5,False,3,,1016,
Actaea asiatica,11.9917,8,8.67083,24.35,-1.05,1102.5,125.5,False,36,,1002,
Actaea cimicifuga,11.9917,5,3.13125,23.15,-7.92917,626.25,84.0,False,11,,1141,
Actaea elata,11.9917,9,10.9694,26.575,3.51667,1183.75,144.75,False,4,,180,
Actaea japonica,11.9917,11,11.4472,27.2,1.21667,1308.25,155.5,False,19,,846,
Actaea pachypoda,11.9917,8,8.29722,26.05,-2.125,970.0,183.0,False,92,,9761,
Actaea podocarpa,11.9917,9,9.66807,27.35,-0.941667,1118.0,239.5,False,15,,164,
Actaea racemosa,11.9917,11,10.5,28.0,-0.4,1034.5,206.0,False,82,,4338,
Actaea rubra,11.9917,6,6.68194,24.575,-3.025,834.0,132.5,False,102,,9759,
Actaea simplex,11.9917,8,7.87362,23.85,-1.89167,1044.0,151.75,False,30,,1891,
Actinidia arguta,11.9917,11,10.2556,25.85,0.191667,1073.5,131.5,False,118,,2878,
Actinidia callosa,11.9917,6,14.5958,26.5,5.51667,1125.25,120.5,False,24,,790,
Actinidia chinensis,11.9917,11,11.816,24.575,4.16667,1073.75,154.0,False,80,,1486,
Actinidia hemsleyana,11.9917,9,16.3389,31.025,4.74583,1238.5,162.25,False,5,,54,
Actinidia kolomikta,11.9917,8,7.34722,24.0,-2.13333,971.75,126.5,False,125,,1381,
Actinidia melanandra,11.9917,8,13.6507,27.0,3.4375,960.0,105.25,False,33,,155,
Actinidia polygama,11.9917,11,10.125,25.875,0.145833,1095.5,139.5,False,61,,1975,
Actinidia rufa,11.9917,9,15.3222,27.55,7.54167,1728.5,254.5,False,11,,408,
Adenocaulon bicolor,11.9917,11,10.9944,25.025,4.0,955.5,94.75,False,11,,5376,
Adiantum aleuticum,11.9917,9,9.83194,23.2,3.925,1241.75,143.0,False,40,,9042,
Adiantum capillus-veneris,11.9917,9,15.0111,28.85,7.27083,813.75,117.0,False,129,,9282,
Adiantum pedatum,11.9917,11,8.93333,27.3,-1.63333,1006.5,188.0,False,149,,9653,
Adiantum shastense,11.9917,8,14.6326,30.1,8.06667,1120.0,24.5,False,3,,157,
Adiantum venustum,11.9917,11,9.74583,23.225,2.08333,763.5,87.25,False,76,,227,
Adinandra bockiana,11.9917,5,18.0845,30.559,9.29833,1421.12,124.0,True,,,70,133
Adinandra glischroloma,11.9917,9,18.9209,30.7396,9.82353,1563.25,132.25,True,,,56,72
