Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Draba araratica,14.2833,2,0.152779,16.85,-6.41667,373.5,66.5,False,3,,7,
Draba korabensis,14.2833,2,8.10833,22.4,0.166667,797.0,129.0,False,6,,1,
Draba rigida,14.2833,2,3.50972,19.3,-3.08333,859.25,163.5,False,22,,151,
Draba sakuraii,14.2833,2,6.40972,22.85,-2.54167,1285.5,151.0,False,1,,34,
Draba subcapitata,14.2833,2,2.87222,12.75,-4.225,244.0,29.0,False,2,,3,
Edraianthus pumilio,14.2833,2,10.2188,24.8,1.02083,832.75,149.75,False,4,,5,
Elmera racemosa,14.2833,2,4.77361,20.275,-1.60417,1564.75,177.0,False,19,,216,
Endotropis alnifolia,14.2833,2,6.35694,25.225,-6.10417,929.5,179.75,False,1,,7,
Ephedra frustillata,14.2833,2,8.32222,21.35,2.25833,442.0,85.75,False,11,,85,
Epimedium baiealiguizhouense,14.2833,2,14.6542,27.2,5.25,1026.25,119.5,False,1,,2,
Eremogone hookeri,14.2833,2,8.44861,27.5,-1.35417,581.5,94.5,False,6,,667,
Eremurus regelii,14.2833,2,8.39028,25.75,-1.64583,620.0,79.0,False,12,,85,
Eremurus zenaidae,14.2833,2,8.97223,26.475,-0.983333,630.5,100.25,False,7,,5,
Erigeron miyabeanus,14.2833,2,3.425,19.35,-8.3,909.0,146.0,False,1,,7,
Erigeron scopulinus,14.2833,2,9.24792,24.675,1.45833,721.0,102.75,False,22,,4,
Eriogonum sphaerocephalum,14.2833,2,8.4,30.1,-0.833333,334.5,42.0,False,,,98,
Erythronium oregonum,14.2833,2,10.2,22.6,4.16667,961.0,116.0,False,28,,5287,
Festuca violacea,14.2833,2,4.10695,19.45,-2.025,1158.5,222.5,False,15,,3554,
Fritillaria grandiflora,14.2833,2,8.12917,22.25,1.8,660.0,130.5,False,7,,1,
Gaultheria parvula,14.2833,2,8.29027,20.925,2.65833,1309.25,237.75,False,5,,23,
Gentiana acaulis,14.2833,2,4.90833,19.7,-1.62917,1059.0,200.25,False,78,,5631,
Gentiana angustifolia,14.2833,2,6.81667,21.65,-0.233333,1096.5,207.0,False,45,,3687,
Gentiana burseri,14.2833,2,5.9625,21.4,-0.545832,983.25,193.0,False,15,,1834,
Gentiana terglouensis,14.2833,2,2.24653,16.525,-2.65833,1065.75,198.25,False,2,,1318,
Geranium aristatum,14.2833,2,6.57847,21.725,0.425002,841.0,144.5,False,16,,4,
Geranium platypetalum,14.2833,2,5.62222,21.4,-1.87917,867.75,155.0,False,6,,119,
Geum pentapetalum,14.2833,2,4.125,20.6,-3.325,1079.0,179.0,False,6,,533,
Gladiolus imbricatus,14.2833,2,7.17222,22.85,-1.79167,651.5,117.5,False,54,,1268,
Hedlundia hybrida,14.2833,2,7.68194,20.4,0.899998,671.5,118.5,False,3,,6838,
Helianthemum alpestre,14.2833,2,5.05,19.7,-1.5875,1043.75,195.75,False,2,,1779,
Hemieva ranunculifolia,14.2833,2,5.0,23.6,-4.01667,848.5,115.5,False,1,,334,
Hepatica transsilvanica,14.2833,2,7.39305,22.4,-0.383333,631.5,109.5,False,41,,192,
Heptapleurum gracile,14.2833,2,22.5778,31.425,15.55,2351.25,446.75,False,1,,3,
Herniaria alpina,14.2833,2,3.2125,18.15,-2.40833,1101.0,203.0,False,7,,829,
Hesperis tristis,14.2833,2,9.47778,24.0,0.850002,596.5,115.5,False,7,,623,
Heuchera hallii,14.2833,2,5.11389,23.75,-3.1,631.25,86.25,False,16,,17,
Heuchera pulchella,14.2833,2,7.09167,24.275,-1.67083,681.5,111.25,False,31,,21,
Hieracium villosum,14.2833,2,5.34583,20.0,-1.10833,1088.0,206.0,False,39,,2693,
Hornungia alpina,14.2833,2,4.22639,18.65,-2.26667,1087.5,199.5,False,11,,414,
Huynhia pulchra,14.2833,2,4.90209,21.375,-2.95833,896.75,158.0,False,4,,378,
Hylotelephium cyaneum,14.2833,2,-0.208322,22.35,1.91667,411.5,80.0,False,5,,25,
Lathyrus aureus,14.2833,2,9.35764,23.7,1.37917,672.75,139.5,False,31,,345,
Lathyrus vernus,14.2833,2,8.4875,23.05,0.758332,749.25,133.0,False,15,,98,
Leptarrhena pyrolifolia,14.2833,2,4.27361,20.275,-2.41667,1144.5,178.5,False,7,,1744,
Leucogenes grandiceps,14.2833,2,7.16876,20.0,2.34167,2060.5,369.0,False,7,,1286,
Leucogenes leontopodium,14.2833,2,7.95,18.95,3.375,1638.0,337.0,False,9,,237,
Liatris ligulistylis,14.2833,2,6.09514,26.95,-7.21667,696.0,99.5,False,32,,989,
Lilium kesselringianum,14.2833,2,5.09931,21.15,-3.32083,1027.25,189.0,False,21,,79,
Lomatium columbianum,14.2833,2,10.1778,25.6,2.00833,689.0,81.75,False,8,,531,
Majovskya sudetica,14.2833,2,5.59792,19.45,-2.33333,1120.5,179.5,False,,,19,
Malva thuringiaca,14.2833,2,6.39653,23.75,-3.4,590.0,103.25,False,6,,754,
Micranthes lyallii,14.2833,2,3.30694,21.25,-3.21667,891.75,175.25,False,3,,858,
Micranthes nelsoniana,14.2833,2,-4.28333,17.1,-18.45,523.0,60.0,False,,,46,
Micranthes occidentalis,14.2833,2,4.39444,20.55,-1.40833,761.25,137.0,False,2,,887,
Noccaea bellidifolia,14.2833,2,6.09306,21.975,-1.32917,849.75,152.75,False,7,,6,
Noccaea corymbosa,14.2833,2,2.66458,17.225,-1.93333,922.75,180.0,False,2,,213,
Noccaea rotundifolia,14.2833,2,4.04167,18.175,-1.4875,1127.25,208.25,False,4,,258,
Noccaea vesicaria,14.2833,2,7.41944,25.175,-0.979165,751.5,123.5,False,4,,32,
Omphalodes verna,14.2833,2,8.98472,22.85,1.29166,769.0,151.0,False,84,,9224,
Onosma nana,14.2833,2,6.29028,22.9,-0.512498,581.5,88.25,False,5,,6,
Ozothamnus coralloides,14.2833,2,8.24932,21.225,2.94167,1247.75,225.75,False,1,,98,
Ozothamnus ericifolius,14.2833,2,7.80903,19.075,3.4625,1013.5,174.75,False,3,,151,
Paederota bonarota,14.2833,2,4.79167,19.3,-1.60417,915.0,147.0,False,28,,295,
Paederota lutea,14.2833,2,5.64028,20.475,-1.37083,1300.5,222.0,False,24,,172,
Parnassia fimbriata,14.2833,2,2.84375,20.075,-5.62917,741.75,130.0,False,3,,2527,
Pentanema ensifolium,14.2833,2,8.72639,23.675,0.429166,649.0,120.25,False,4,,1848,
Pentanema orientale,14.2833,2,5.52917,20.825,-1.0625,899.0,172.0,False,2,,38,
Petasites albus,14.2833,2,7.70556,22.15,0.137499,922.75,173.5,False,41,,962,
Petrophytum cinerascens,14.2833,2,8.87639,25.75,-0.337498,523.5,84.25,False,19,,8,
Phedimus florifer,14.2833,2,8.52222,23.9,-0.2,657.0,108.5,False,1,,12,
Phlox kelseyi,14.2833,2,6.74792,25.2,-2.47917,428.75,76.75,False,7,,16,
Phyllodoce nipponica,14.2833,2,5.49097,21.525,-1.94166,1345.75,177.0,False,9,,263,
Physaria arctica,14.2833,2,4.23333,15.05,-0.883335,411.5,80.0,False,4,,3,
Physaria reediana,14.2833,2,7.50972,24.9,-1.05417,622.5,103.5,False,5,,231,
Phyteuma hemisphaericum,14.2833,2,4.34583,19.3,-1.69167,1108.5,204.5,False,26,,546,
Phyteuma nigrum,14.2833,2,8.86111,22.6,1.51667,791.5,165.5,False,27,,4751,
Phyteuma sieberi,14.2833,2,3.8,18.025,-2.57083,1086.75,178.25,False,22,,239,
Planocarpa petiolaris,14.2833,2,7.50834,19.25,3.52083,1087.5,205.0,False,3,,281,
Poa buchananii,14.2833,2,6.96527,19.15,2.86667,1746.5,304.5,False,4,,12,
Polemonium brandegeei,14.2833,2,5.36598,24.9,-2.52083,521.25,87.25,False,2,,14,
Polygala amarella,14.2833,2,7.4993,22.15,0.425002,659.25,122.25,False,1,,6535,
Polygonum graminifolium,14.2833,2,11.7417,27.3,2.0,655.0,126.0,False,,,1,
Pontechium maculatum,14.2833,2,7.81112,24.65,-1.66667,642.0,121.0,False,14,,1177,
Potentilla divina,14.2833,2,3.0993,18.675,-3.35416,1039.0,183.75,False,2,,75,
Potentilla dombeyi,14.2833,2,6.55972,17.0,3.03333,796.0,145.5,False,6,,42,
Potentilla nitida,14.2833,2,4.19722,18.475,-1.87083,1002.5,173.5,False,48,,1463,
Potentilla villosula,14.2833,2,-1.41875,15.3,-10.2583,775.0,115.5,False,,,244,
Primula concholoba,14.2833,2,3.73056,17.5,-3.10833,859.5,100.75,False,6,,2,
Primula fangii,14.2833,2,10.6917,23.8,4.59166,782.5,27.0,False,2,,4,
