Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Persea humilis,9.98333,2,19.7588,32.5333,11.0361,1195.83,182.833,True,2,,67,34
Saurauia roxburghii,9.98333,2,23.823,32.1,20.0444,1435.67,30.6667,True,2,,39,38
Schima sinensis,9.98333,2,15.0839,28.0167,7.06389,1117.5,48.3333,True,5,,29,97
Sorbus verrucosa,9.98333,2,21.6042,27.85,15.8417,2037.0,22.75,True,1,,3,4
Styrax tonkinensis,9.98333,2,18.5907,30.9333,11.4667,1385.67,89.0,True,1,,7,22
Aquilegia brevistyla,9.98333,3,3.86111,21.575,-4.81667,594.25,95.75,False,3,,672,
Arctostaphylos bicolor,9.98333,3,16.7625,30.15,12.5583,401.5,7.0,False,15,,3885,
Ardisia pusilla,9.98333,3,15.5861,29.4,5.08333,1751.5,157.0,False,8,,541,
Draba korabensis,9.98333,3,8.10833,22.4,0.166667,797.0,129.0,False,6,,1,
Gentiana terglouensis,9.98333,3,2.24653,16.525,-2.65833,1065.75,198.25,False,2,,1318,
Helianthus angustifolius,9.98333,3,17.1111,32.225,6.92917,1232.75,250.0,False,3,,292,
Hesperocyparis abramsiana,9.98333,3,13.2278,24.0,10.0583,761.5,11.5,False,7,,626,
Lyonia lucida,9.98333,3,18.7611,32.2,9.66667,1237.0,225.0,False,2,,3842,
Nassella pulchra,9.98333,3,15.4396,28.8,10.475,551.75,8.25,False,16,,187,
Phyllostachys makinoi,9.98333,3,18.5451,30.475,11.5875,1703.5,134.25,False,9,,16,
Potentilla divina,9.98333,3,3.0993,18.675,-3.35416,1039.0,183.75,False,2,,75,
Sedum tenellum,9.98333,3,3.90972,18.6,-1.7,876.5,167.0,False,4,,196,
Styphnolobium affine,9.98333,3,17.6514,33.55,6.93334,888.5,156.5,False,12,,218,
Styrax redivivus,9.98333,3,15.309,29.525,10.0125,597.75,10.5,False,11,,9,
Trichostema lanatum,9.98333,3,15.7049,30.55,11.0542,459.75,6.75,False,21,,2471,
Viscaria alpina,9.98333,3,1.92083,18.0,-5.19167,811.25,145.25,False,12,,6855,
Ilex triflora,9.98333,3,18.7717,31.8125,10.3025,1471.88,135.375,True,11,3,32,577
