AccNoFull,ItemAccNoFull,LocationName,LocationCoordY,LocationCoordX,LifeForm,Family,Genus,GenusSpecies,ItemLocationCode,ProvenanceCode,ItemType,IUCNRedList,NationalRedList,RegionalRedList,Locality,LocalityFull,climate_rating_emissions_limited_2050,climate_rating_current_sheet,climate_rating_business_as_usual_2090,climate_rating_bau_plus_1degree_2090
1999-0404,1999-0404.01,Contemporary Garden,-123.246025,49.253365,Shrub,Oleaceae,Abeliophyllum,Abeliophyllum distichum,1C01,G,Planting,,,,,,9,11,3,3
2014-0168,2014-0168.01,Asian Garden,-123.2511504,49.25364154,Shrub,Oleaceae,Abeliophyllum,Abeliophyllum distichum,3AAF,G,Planting,,,,,,9,11,3,3
1983-0427,1983-0427.01,Alpine Garden,-123.246104,49.25365,Shrub,Pinaceae,Abies,Abies koreana,LAS4,G,Planting,,,,,,6,9,5,5
1987-0067,1987-0067.01,Alpine Garden,-123.246737,49.254134,Shrub,Pinaceae,Abies,Abies balsamea,LNA3,G,Planting,,,,,,6,9,3,3
1987-0067,1987-0067.02,Alpine Garden,-123.246714,49.254241,Shrub,Pinaceae,Abies,Abies balsamea,LNA1,G,Planting,,,,,,6,9,3,3
1987-0067,1987-0067.03,Alpine Garden,-123.246737,49.254134,Shrub,Pinaceae,Abies,Abies balsamea,LNA3,G,Planting,,,,,,6,9,3,3
2001-0235,2001-0235.01,Alpine Garden,-123.246646,49.254052,Shrub,Pinaceae,Abies,Abies lasiocarpa,LNA4,G,Planting,,,,,,6,9,3,3
2012-0135,2012-0135.01,Alpine Garden,-123.246765,49.25398,Shrub,Pinaceae,Abies,Abies concolor,LNA5,G,Planting,,,,,,8,11,6,5
2022-0602,2022-0602.01,Alpine Garden,-123.245873,49.253589,Shrub,Pinaceae,Abies,Abies balsamea,LTC1,U,Planting,,,,,,6,9,3,3
2016-0419,2016-0419.01,Asian Garden,-123.2496979,49.25370219,Tree,Pinaceae,Abies,Abies grandis,3AA2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.02,Asian Garden,-123.2502942,49.25360128,Tree,Pinaceae,Abies,Abies grandis,3AAC,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.03,Asian Garden,-123.2511504,49.25364154,Tree,Pinaceae,Abies,Abies grandis,3AAF,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.04,Asian Garden,-123.250798,49.253039,Tree,Pinaceae,Abies,Abies grandis,3AAK,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.05,Asian Garden,-123.250798,49.253039,Tree,Pinaceae,Abies,Abies grandis,3AAK,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.06,Asian Garden,-123.250798,49.253039,Tree,Pinaceae,Abies,Abies grandis,3AAK,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.07,Asian Garden,-123.24941,49.25304096,Tree,Pinaceae,Abies,Abies grandis,3AB5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.08,Asian Garden,-123.24941,49.25304096,Tree,Pinaceae,Abies,Abies grandis,3AB5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.09,Asian Garden,-123.250395,49.25316463,Tree,Pinaceae,Abies,Abies grandis,3AB6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.10,Asian Garden,-123.2500403,49.25290045,Tree,Pinaceae,Abies,Abies grandis,3AB7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.100,Asian Garden,-123.2482302,49.25242023,Tree,Pinaceae,Abies,Abies grandis,3AD1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.101,Asian Garden,-123.2482302,49.25242023,Tree,Pinaceae,Abies,Abies grandis,3AD1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.102,Asian Garden,-123.2482302,49.25242023,Tree,Pinaceae,Abies,Abies grandis,3AD1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.103,Asian Garden,-123.2467996,49.25134628,Tree,Pinaceae,Abies,Abies grandis,3AG1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.104,Asian Garden,-123.247018,49.25078685,Tree,Pinaceae,Abies,Abies grandis,3AG5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.105,Asian Garden,-123.247018,49.25078685,Tree,Pinaceae,Abies,Abies grandis,3AG5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.106,Asian Garden,-123.247018,49.25078685,Tree,Pinaceae,Abies,Abies grandis,3AG5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.107,Asian Garden,-123.247018,49.25078685,Tree,Pinaceae,Abies,Abies grandis,3AG5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.108,Asian Garden,-123.246415,49.250271,Tree,Pinaceae,Abies,Abies grandis,3AG8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.109,Asian Garden,-123.246415,49.250271,Tree,Pinaceae,Abies,Abies grandis,3AG8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.11,Asian Garden,-123.250583,49.253088,Tree,Pinaceae,Abies,Abies grandis,3AB8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.110,Asian Garden,-123.246415,49.250271,Tree,Pinaceae,Abies,Abies grandis,3AG8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.111,Asian Garden,-123.246415,49.250271,Tree,Pinaceae,Abies,Abies grandis,3AG8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.112,Asian Garden,-123.246415,49.250271,Tree,Pinaceae,Abies,Abies grandis,3AG8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.113,Asian Garden,-123.24649,49.251194,Tree,Pinaceae,Abies,Abies grandis,3AGA,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.114,Asian Garden,-123.24649,49.251194,Tree,Pinaceae,Abies,Abies grandis,3AGA,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.115,Asian Garden,-123.2465302,49.2506617,Tree,Pinaceae,Abies,Abies grandis,3AJ3,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.116,Asian Garden,-123.24489,49.250363,Tree,Pinaceae,Abies,Abies grandis,3AM1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.117,Asian Garden,-123.2434073,49.24950764,Tree,Pinaceae,Abies,Abies grandis,3AP2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.118,Asian Garden,-123.2431913,49.24934955,Tree,Pinaceae,Abies,Abies grandis,3AQ1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.12,Asian Garden,-123.250583,49.253088,Tree,Pinaceae,Abies,Abies grandis,3AB8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.13,Asian Garden,-123.250583,49.253088,Tree,Pinaceae,Abies,Abies grandis,3AB8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.14,Asian Garden,-123.250583,49.253088,Tree,Pinaceae,Abies,Abies grandis,3AB8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.15,Asian Garden,-123.250583,49.253088,Tree,Pinaceae,Abies,Abies grandis,3AB8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.16,Asian Garden,-123.2485506,49.25273738,Tree,Pinaceae,Abies,Abies grandis,3ABC,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.17,Asian Garden,-123.2485506,49.25273738,Tree,Pinaceae,Abies,Abies grandis,3ABC,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.18,Asian Garden,-123.2497293,49.25284675,Tree,Pinaceae,Abies,Abies grandis,3AC2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.19,Asian Garden,-123.2497293,49.25284675,Tree,Pinaceae,Abies,Abies grandis,3AC2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.20,Asian Garden,-123.2496112,49.25262248,Tree,Pinaceae,Abies,Abies grandis,3AC6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.21,Asian Garden,-123.2496112,49.25262248,Tree,Pinaceae,Abies,Abies grandis,3AC6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.22,Asian Garden,-123.2496112,49.25262248,Tree,Pinaceae,Abies,Abies grandis,3AC6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.23,Asian Garden,-123.2496112,49.25262248,Tree,Pinaceae,Abies,Abies grandis,3AC6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.24,Asian Garden,-123.2490396,49.25271605,Tree,Pinaceae,Abies,Abies grandis,3AC7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.25,Asian Garden,-123.2490396,49.25271605,Tree,Pinaceae,Abies,Abies grandis,3AC7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.26,Asian Garden,-123.2487159,49.25255704,Tree,Pinaceae,Abies,Abies grandis,3AC8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.27,Asian Garden,-123.249706,49.252309,Tree,Pinaceae,Abies,Abies grandis,3AC9,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.28,Asian Garden,-123.2492523,49.25244587,Tree,Pinaceae,Abies,Abies grandis,3AD2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.29,Asian Garden,-123.2492523,49.25244587,Tree,Pinaceae,Abies,Abies grandis,3AD2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.30,Asian Garden,-123.2492523,49.25244587,Tree,Pinaceae,Abies,Abies grandis,3AD2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.31,Asian Garden,-123.2487469,49.25216056,Tree,Pinaceae,Abies,Abies grandis,3AD6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.32,Asian Garden,-123.248709,49.25159409,Tree,Pinaceae,Abies,Abies grandis,3AH8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.33,Asian Garden,-123.2466776,49.25051887,Tree,Pinaceae,Abies,Abies grandis,3AJ4,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.34,Asian Garden,-123.2466776,49.25051887,Tree,Pinaceae,Abies,Abies grandis,3AJ4,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.35,Asian Garden,-123.2466776,49.25051887,Tree,Pinaceae,Abies,Abies grandis,3AJ4,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.36,Asian Garden,-123.2466776,49.25051887,Tree,Pinaceae,Abies,Abies grandis,3AJ4,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.39,Asian Garden,-123.2500403,49.25290045,Tree,Pinaceae,Abies,Abies grandis,3AB7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.40,Asian Garden,-123.2464325,49.25085817,Tree,Pinaceae,Abies,Abies grandis,3AG6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.41,Asian Garden,-123.2464325,49.25085817,Tree,Pinaceae,Abies,Abies grandis,3AG6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.42,Asian Garden,-123.2464325,49.25085817,Tree,Pinaceae,Abies,Abies grandis,3AG6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.43,Asian Garden,-123.2464325,49.25085817,Tree,Pinaceae,Abies,Abies grandis,3AG6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.44,Asian Garden,-123.2464325,49.25085817,Tree,Pinaceae,Abies,Abies grandis,3AG6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.45,Asian Garden,-123.2464325,49.25085817,Tree,Pinaceae,Abies,Abies grandis,3AG6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.46,Asian Garden,-123.245922,49.25087,Tree,Pinaceae,Abies,Abies grandis,3AG7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.47,Asian Garden,-123.245922,49.25087,Tree,Pinaceae,Abies,Abies grandis,3AG7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.48,Asian Garden,-123.245922,49.25087,Tree,Pinaceae,Abies,Abies grandis,3AG7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.49,Asian Garden,-123.245922,49.25087,Tree,Pinaceae,Abies,Abies grandis,3AG7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.50,Asian Garden,-123.245922,49.25087,Tree,Pinaceae,Abies,Abies grandis,3AG7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.51,Asian Garden,-123.245922,49.25087,Tree,Pinaceae,Abies,Abies grandis,3AG7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.52,Asian Garden,-123.246993,49.250359,Tree,Pinaceae,Abies,Abies grandis,3AG9,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.53,Asian Garden,-123.246993,49.250359,Tree,Pinaceae,Abies,Abies grandis,3AG9,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.54,Asian Garden,-123.246993,49.250359,Tree,Pinaceae,Abies,Abies grandis,3AG9,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.55,Asian Garden,-123.2460636,49.25072079,Tree,Pinaceae,Abies,Abies grandis,3AGB,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.56,Asian Garden,-123.2460636,49.25072079,Tree,Pinaceae,Abies,Abies grandis,3AGB,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.57,Asian Garden,-123.2460636,49.25072079,Tree,Pinaceae,Abies,Abies grandis,3AGB,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.58,Asian Garden,-123.2460636,49.25072079,Tree,Pinaceae,Abies,Abies grandis,3AGB,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.59,Asian Garden,-123.2460636,49.25072079,Tree,Pinaceae,Abies,Abies grandis,3AGB,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.60,Asian Garden,-123.2460636,49.25072079,Tree,Pinaceae,Abies,Abies grandis,3AGB,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.61,Asian Garden,-123.2488464,49.25148647,Tree,Pinaceae,Abies,Abies grandis,3AH4,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.62,Asian Garden,-123.2466088,49.25009626,Tree,Pinaceae,Abies,Abies grandis,3AK6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.63,Asian Garden,-123.245235,49.250523,Tree,Pinaceae,Abies,Abies grandis,3AL4,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.64,Asian Garden,-123.245521,49.250669,Tree,Pinaceae,Abies,Abies grandis,3AL5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.65,Asian Garden,-123.245521,49.250669,Tree,Pinaceae,Abies,Abies grandis,3AL5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.66,Asian Garden,-123.2478874,49.25139217,Tree,Pinaceae,Abies,Abies grandis,3AEC,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.67,Asian Garden,-123.2478874,49.25139217,Tree,Pinaceae,Abies,Abies grandis,3AEC,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.68,Asian Garden,-123.2478874,49.25139217,Tree,Pinaceae,Abies,Abies grandis,3AEC,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.69,Asian Garden,-123.2478874,49.25139217,Tree,Pinaceae,Abies,Abies grandis,3AEC,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.70,Asian Garden,-123.2478978,49.25110422,Tree,Pinaceae,Abies,Abies grandis,3AF4,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.71,Asian Garden,-123.2478978,49.25110422,Tree,Pinaceae,Abies,Abies grandis,3AF4,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.72,Asian Garden,-123.247819,49.25083997,Tree,Pinaceae,Abies,Abies grandis,3AF6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.73,Asian Garden,-123.247819,49.25083997,Tree,Pinaceae,Abies,Abies grandis,3AF6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.74,Asian Garden,-123.2480572,49.25083539,Tree,Pinaceae,Abies,Abies grandis,3AF7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.75,Asian Garden,-123.247394,49.25053,Tree,Pinaceae,Abies,Abies grandis,3AF8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.76,Asian Garden,-123.2489285,49.25139453,Tree,Pinaceae,Abies,Abies grandis,3AH3,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.77,Asian Garden,-123.2482625,49.25110089,Tree,Pinaceae,Abies,Abies grandis,3AH7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.78,Asian Garden,-123.2460684,49.25029615,Tree,Pinaceae,Abies,Abies grandis,3AK3,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.79,Asian Garden,-123.2460684,49.25029615,Tree,Pinaceae,Abies,Abies grandis,3AK3,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.80,Asian Garden,-123.245334,49.250284,Tree,Pinaceae,Abies,Abies grandis,3AL3,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.81,Asian Garden,-123.245334,49.250284,Tree,Pinaceae,Abies,Abies grandis,3AL3,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.82,Asian Garden,-123.245334,49.250284,Tree,Pinaceae,Abies,Abies grandis,3AL3,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.83,Asian Garden,-123.245621,49.250404,Tree,Pinaceae,Abies,Abies grandis,3AL6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.84,Asian Garden,-123.245621,49.250404,Tree,Pinaceae,Abies,Abies grandis,3AL6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.85,Asian Garden,-123.245621,49.250404,Tree,Pinaceae,Abies,Abies grandis,3AL6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.86,Asian Garden,-123.245621,49.250404,Tree,Pinaceae,Abies,Abies grandis,3AL6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.87,Asian Garden,-123.245621,49.250404,Tree,Pinaceae,Abies,Abies grandis,3AL6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.88,Asian Garden,-123.2474407,49.25156143,Tree,Pinaceae,Abies,Abies grandis,3AE7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.89,Asian Garden,-123.247676,49.25149944,Tree,Pinaceae,Abies,Abies grandis,3AE9,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.90,Asian Garden,-123.247676,49.25149944,Tree,Pinaceae,Abies,Abies grandis,3AE9,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.91,Asian Garden,-123.247676,49.25149944,Tree,Pinaceae,Abies,Abies grandis,3AE9,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.92,Asian Garden,-123.2475103,49.25182538,Tree,Pinaceae,Abies,Abies grandis,3AF1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.93,Asian Garden,-123.2474244,49.2513684,Tree,Pinaceae,Abies,Abies grandis,3AF3,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.94,Asian Garden,-123.2472507,49.25124442,Tree,Pinaceae,Abies,Abies grandis,3AK1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.95,Asian Garden,-123.2472507,49.25124442,Tree,Pinaceae,Abies,Abies grandis,3AK1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.96,Asian Garden,-123.2457502,49.25016408,Tree,Pinaceae,Abies,Abies grandis,3AK4,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.97,Asian Garden,-123.245917,49.25002559,Tree,Pinaceae,Abies,Abies grandis,3AK5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.98,Asian Garden,-123.245917,49.25002559,Tree,Pinaceae,Abies,Abies grandis,3AK5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.99,Asian Garden,-123.2482302,49.25242023,Tree,Pinaceae,Abies,Abies grandis,3AD1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
1973-0736,1973-0736.01,Alpine Garden,-123.246737,49.254134,Tree,Pinaceae,Abies,Abies lasiocarpa,LNA3,W,Planting,Least concern,,,"Nr.Revelstoke,BC","CAN: British Columbia, Nr.Revelstoke,BC",6,9,3,3
1974-0422,1974-0422.01,Rain Forest Garden,-123.245047,49.253548,Tree,Pinaceae,Abies,Abies lasiocarpa,1B26,W,Planting,,,Yellow-listed British Columbia,"McBride,BC","CAN: British Columbia, McBride,BC",6,9,3,3
1974-0422,1974-0422.02,Rain Forest Garden,-123.245047,49.253548,Tree,Pinaceae,Abies,Abies lasiocarpa,1B26,W,Planting,,,Yellow-listed British Columbia,"McBride,BC","CAN: British Columbia, McBride,BC",6,9,3,3
1974-0438,1974-0438.01,Rain Forest Garden,-123.245047,49.253548,Tree,Pinaceae,Abies,Abies amabilis,1B26,W,Planting,Least concern,,Yellow-listed British Columbia,,"CAN: British Columbia, 457 - 914 m, 55 06 | -127 24",6,9,3,3
1974-0909,1974-0909.01,Alpine Garden,-123.246952,49.254323,Tree,Pinaceae,Abies,Abies pinsapo,LEU1,G,Planting,Endangered,,,,,11,9,11,8
1975-0757,1975-0757.01,Rain Forest Garden,-123.245047,49.253548,Tree,Pinaceae,Abies,Abies grandis,1B26,W,Planting,Least concern,,Yellow-listed British Columbia,"Hope Slide, east of slide,  in gravel pit north side of road by big rock at east end of meadows","CAN: British Columbia, Fraser Valley Regional District, Hope Slide, east of slide,  in gravel pit north side of road by big rock at east end of meadows, 610 m, 49 23 | -121 23",11,11,5,5
1979-0848,1979-0848.01,Front Entrance,-123.25167,49.254447,Tree,Pinaceae,Abies,Abies chensiensis,2A12,G,Planting,Least concern,,,,,11,11,11,8
1979-0848,1979-0848.02,Front Entrance,-123.25167,49.254447,Tree,Pinaceae,Abies,Abies chensiensis,2A12,G,Planting,Least concern,,,,,11,11,11,8
1979-0849,1979-0849.01,Outside Fence,-123.251401,49.255242,Tree,Pinaceae,Abies,Abies fabri,FS03,G,Planting,Vulnerable,,,,,11,9,11,11
