family,genus,n_accepted_species_in_genus,n_genera_in_family,n_accepted_species_in_family
Acanthaceae,Acanthopale,12,205,5538
Acanthaceae,Acanthopsis,20,205,5538
Acanthaceae,Acanthus,30,205,5538
Acanthaceae,Afrofittonia,1,205,5538
Acanthaceae,Ambongia,1,205,5538
Acanthaceae,Ancistranthus,1,205,5538
Acanthaceae,Andrographis,25,205,5538
Acanthaceae,Angkalanthus,1,205,5538
Acanthaceae,Anisacanthus,11,205,5538
Acanthaceae,Anisosepalum,3,205,5538
Acanthaceae,Anisostachya,61,205,5538
Acanthaceae,Anisotes,29,205,5538
Acanthaceae,Anomacanthus,1,205,5538
Acanthaceae,Aphanosperma,1,205,5538
Acanthaceae,Aphelandra,207,205,5538
Acanthaceae,Ascotheca,1,205,5538
Acanthaceae,Asystasia,59,205,5538
Acanthaceae,Avicennia,8,205,5538
Acanthaceae,Aymoreana,1,205,5538
Acanthaceae,Ballochia,3,205,5538
Acanthaceae,Barleria,304,205,5538
Acanthaceae,Barleriola,4,205,5538
Acanthaceae,Blepharis,128,205,5538
Acanthaceae,Borneacanthus,6,205,5538
Acanthaceae,Boutonia,1,205,5538
Acanthaceae,Brachystephanus,21,205,5538
Acanthaceae,Bravaisia,3,205,5538
Acanthaceae,Brillantaisia,14,205,5538
Acanthaceae,Brunoniella,6,205,5538
Acanthaceae,Calacanthus,1,205,5538
Acanthaceae,Calycacanthus,1,205,5538
Acanthaceae,Camarotea,1,205,5538
Acanthaceae,Carlowrightia,27,205,5538
Acanthaceae,Celerina,1,205,5538
Acanthaceae,Cephalacanthus,1,205,5538
Acanthaceae,Cephalophis,1,205,5538
Acanthaceae,Chalarothyrsus,1,205,5538
Acanthaceae,Chamaeranthemum,4,205,5538
Acanthaceae,Champluviera,2,205,5538
Acanthaceae,Chileranthemum,3,205,5538
Acanthaceae,Chlamydacanthus,2,205,5538
Acanthaceae,Chlamydocardia,2,205,5538
Acanthaceae,Chorisochora,4,205,5538
Acanthaceae,Chroesthes,4,205,5538
Acanthaceae,Clinacanthus,4,205,5538
Acanthaceae,Clistax,3,205,5538
Acanthaceae,Codonacanthus,3,205,5538
Acanthaceae,Conocalyx,1,205,5538
Acanthaceae,Cosmianthemum,14,205,5538
Acanthaceae,Crabbea,13,205,5538
Acanthaceae,Crossandra,54,205,5538
Acanthaceae,Crossandrella,3,205,5538
Acanthaceae,Cryptacanthus,6,205,5538
Acanthaceae,Cuenotia,1,205,5538
Acanthaceae,Cyclacanthus,2,205,5538
Acanthaceae,Cynarospermum,1,205,5538
Acanthaceae,Cyphacanthus,1,205,5538
Acanthaceae,Dasytropis,1,205,5538
Acanthaceae,Dianthera,40,205,5538
Acanthaceae,Diceratotheca,1,205,5538
Acanthaceae,Dichazothece,1,205,5538
Acanthaceae,Dicladanthera,2,205,5538
Acanthaceae,Dicliptera,233,205,5538
Acanthaceae,Dinteracanthus,5,205,5538
Acanthaceae,Dischistocalyx,12,205,5538
Acanthaceae,Dolichostachys,1,205,5538
Acanthaceae,Duosperma,26,205,5538
Acanthaceae,Dyschoriste,98,205,5538
Acanthaceae,Ecbolium,22,205,5538
Acanthaceae,Echinacanthus,4,205,5538
Acanthaceae,Elytraria,23,205,5538
Acanthaceae,Eranthemum,24,205,5538
Acanthaceae,Eremomastax,1,205,5538
Acanthaceae,Filetia,9,205,5538
Acanthaceae,Fittonia,2,205,5538
Acanthaceae,Forcipella,6,205,5538
Acanthaceae,Glossochilus,1,205,5538
Acanthaceae,Graphandra,1,205,5538
Acanthaceae,Graptophyllum,16,205,5538
Acanthaceae,Gymnophragma,1,205,5538
Acanthaceae,Gymnostachyum,51,205,5538
Acanthaceae,Gypsacanthus,1,205,5538
Acanthaceae,Haplanthodes,4,205,5538
Acanthaceae,Haplanthus,4,205,5538
Acanthaceae,Harpochilus,3,205,5538
Acanthaceae,Hemigraphis,35,205,5538
Acanthaceae,Henrya,3,205,5538
Acanthaceae,Herpetacanthus,21,205,5538
Acanthaceae,Heteradelphia,2,205,5538
Acanthaceae,Holographis,18,205,5538
Acanthaceae,Hoverdenia,1,205,5538
Acanthaceae,Hulemacanthus,2,205,5538
Acanthaceae,Hygrophila,79,205,5538
Acanthaceae,Hypoestes,141,205,5538
Acanthaceae,Ichthyostoma,1,205,5538
Acanthaceae,Isoglossa,81,205,5538
Acanthaceae,Isotheca,1,205,5538
Acanthaceae,Jadunia,2,205,5538
Acanthaceae,Justicia,944,205,5538
Acanthaceae,Kenyacanthus,1,205,5538
Acanthaceae,Kosmosiphon,1,205,5538
Acanthaceae,Kudoacanthus,1,205,5538
Acanthaceae,Lankesteria,7,205,5538
Acanthaceae,Lasiocladus,4,205,5538
Acanthaceae,Leandriella,2,205,5538
Acanthaceae,Lepidagathis,152,205,5538
Acanthaceae,Leptosiphonium,10,205,5538
Acanthaceae,Leptostachya,1,205,5538
Acanthaceae,Liberatia,2,205,5538
Acanthaceae,Linariantha,1,205,5538
Acanthaceae,Louteridium,11,205,5538
Acanthaceae,Mackaya,5,205,5538
Acanthaceae,Marcania,1,205,5538
Acanthaceae,Mcdadea,1,205,5538
Acanthaceae,Megalochlamys,10,205,5538
Acanthaceae,Megaskepasma,1,205,5538
Acanthaceae,Meiosperma,6,205,5538
Acanthaceae,Melittacanthus,1,205,5538
Acanthaceae,Mellera,7,205,5538
Acanthaceae,Mendoncia,89,205,5538
Acanthaceae,Metarungia,1,205,5538
Acanthaceae,Mexacanthus,1,205,5538
Acanthaceae,Mimulopsis,20,205,5538
Acanthaceae,Mirandea,6,205,5538
Acanthaceae,Monothecium,3,205,5538
Acanthaceae,Morsacanthus,1,205,5538
Acanthaceae,Nelsonia,3,205,5538
Acanthaceae,Neriacanthus,5,205,5538
Acanthaceae,Neuracanthus,32,205,5538
Acanthaceae,Nicoteba,4,205,5538
Acanthaceae,Odontonema,32,205,5538
Acanthaceae,Oplonia,21,205,5538
Acanthaceae,Pachystachys,18,205,5538
Acanthaceae,Pararuellia,11,205,5538
Acanthaceae,Pericalypta,1,205,5538
Acanthaceae,Petalidium,43,205,5538
Acanthaceae,Phaulopsis,22,205,5538
Acanthaceae,Phialacanthus,5,205,5538
Acanthaceae,Phlogacanthus,43,205,5538
Acanthaceae,Physacanthus,3,205,5538
Acanthaceae,Podorungia,5,205,5538
Acanthaceae,Pogonospermum,34,205,5538
Acanthaceae,Poikilacanthus,13,205,5538
Acanthaceae,Polylychnis,1,205,5538
Acanthaceae,Populina,2,205,5538
Acanthaceae,Pranceacanthus,1,205,5538
Acanthaceae,Pseudacanthopale,1,205,5538
Acanthaceae,Pseuderanthemum,130,205,5538
Acanthaceae,Pseudocalyx,6,205,5538
Acanthaceae,Pseudodicliptera,4,205,5538
Acanthaceae,Psilanthele,1,205,5538
Acanthaceae,Ptyssiglottis,38,205,5538
Acanthaceae,Pulchranthus,4,205,5538
Acanthaceae,Rhaphidospora,8,205,5538
Acanthaceae,Rhinacanthus,24,205,5538
Acanthaceae,Ritonia,3,205,5538
Acanthaceae,Rostellularia,27,205,5538
Acanthaceae,Ruellia,380,205,5538
Acanthaceae,Ruelliopsis,1,205,5538
Acanthaceae,Rungia,88,205,5538
Acanthaceae,Ruspolia,5,205,5538
Acanthaceae,Ruttya,6,205,5538
Acanthaceae,Saintpauliopsis,1,205,5538
Acanthaceae,Salpixantha,1,205,5538
Acanthaceae,Samuelssonia,1,205,5538
Acanthaceae,Sanchezia,45,205,5538
Acanthaceae,Sapphoa,2,205,5538
Acanthaceae,Satanocrater,4,205,5538
Acanthaceae,Schaueria,15,205,5538
Acanthaceae,Schaueriopsis,1,205,5538
Acanthaceae,Sclerochiton,18,205,5538
Acanthaceae,Sebastiano-schaueria,1,205,5538
Acanthaceae,Spathacanthus,4,205,5538
Acanthaceae,Sphacanthus,2,205,5538
Acanthaceae,Sphinctacanthus,2,205,5538
Acanthaceae,Stachyacanthus,1,205,5538
Acanthaceae,Staurogyne,156,205,5538
Acanthaceae,Stenandriopsis,22,205,5538
Acanthaceae,Stenandrium,50,205,5538
Acanthaceae,Stenostephanus,95,205,5538
Acanthaceae,Stenothyrsus,1,205,5538
Acanthaceae,Streblacanthus,3,205,5538
Acanthaceae,Streptosiphon,1,205,5538
Acanthaceae,Strobilanthes,459,205,5538
Acanthaceae,Strobilanthopsis,1,205,5538
Acanthaceae,Suessenguthia,8,205,5538
Acanthaceae,Symplectochilus,2,205,5538
Acanthaceae,Tabascina,1,205,5538
Acanthaceae,Tetramerium,32,205,5538
Acanthaceae,Thunbergia,151,205,5538
Acanthaceae,Thyrsacanthus,7,205,5538
Acanthaceae,Thysanostigma,2,205,5538
Acanthaceae,Trichanthera,2,205,5538
Acanthaceae,Trichaulax,1,205,5538
Acanthaceae,Trichocalyx,2,205,5538
Acanthaceae,Trichosanchezia,1,205,5538
Acanthaceae,Vavara,1,205,5538
Acanthaceae,Vindasia,1,205,5538
Acanthaceae,Whitfieldia,13,205,5538
Acanthaceae,Wuacanthus,1,205,5538
Acanthaceae,Xantheranthemum,1,205,5538
Acanthaceae,Xerothamnella,2,205,5538
Acanthaceae,Xylacanthus,1,205,5538
Acanthaceae,Yeatesia,3,205,5538
Acanthaceae,Zygoruellia,1,205,5538
Acoraceae,Acorus,2,1,2
Actinidiaceae,Actinidia,57,3,450
Actinidiaceae,Clematoclethra,1,3,450
Actinidiaceae,Saurauia,392,3,450
Aizoaceae,Acrodon,5,127,1876
Aizoaceae,Acrosanthes,6,127,1876
Aizoaceae,Aizoanthemopsis,1,127,1876
Aizoaceae,Aizoanthemum,4,127,1876
Aizoaceae,Aizoon,46,127,1876
Aizoaceae,Aloinopsis,8,127,1876
Aizoaceae,Amphibolia,5,127,1876
Aizoaceae,Anisostigma,1,127,1876
Aizoaceae,Antegibbaeum,1,127,1876
Aizoaceae,Antimima,106,127,1876
Aizoaceae,Apatesia,3,127,1876
Aizoaceae,Arenifera,2,127,1876
Aizoaceae,Argyroderma,12,127,1876
Aizoaceae,Astridia,13,127,1876
Aizoaceae,Bergeranthus,10,127,1876
Aizoaceae,Bijlia,2,127,1876
Aizoaceae,Braunsia,6,127,1876
Aizoaceae,Brianhuntleya,3,127,1876
Aizoaceae,Calamophyllum,3,127,1876
Aizoaceae,Carpanthea,1,127,1876
Aizoaceae,Carpobrotus,13,127,1876
Aizoaceae,Carruanthophyllum,1,127,1876
Aizoaceae,Carruanthus,2,127,1876
Aizoaceae,Cephalophyllum,33,127,1876
Aizoaceae,Cerochlamys,3,127,1876
Aizoaceae,Chasmatophyllum,6,127,1876
Aizoaceae,Cheiridopsis,39,127,1876
Aizoaceae,Circandra,1,127,1876
Aizoaceae,Cleretum,14,127,1876
Aizoaceae,Conicosia,2,127,1876
Aizoaceae,Conophytum,111,127,1876
Aizoaceae,Corpuscularia,8,127,1876
Aizoaceae,Cylindrophyllum,5,127,1876
Aizoaceae,Deilanthe,3,127,1876
Aizoaceae,Delosperma,157,127,1876
Aizoaceae,Dicrocaulon,7,127,1876
Aizoaceae,Didymaotus,1,127,1876
Aizoaceae,Dinteranthus,6,127,1876
Aizoaceae,Diplosoma,2,127,1876
Aizoaceae,Disphyma,5,127,1876
Aizoaceae,Dracophilus,2,127,1876
Aizoaceae,Drosanthemopsis,4,127,1876
Aizoaceae,Drosanthemum,106,127,1876
Aizoaceae,Eberlanzia,8,127,1876
Aizoaceae,Ebracteola,4,127,1876
Aizoaceae,Ectotropis,2,127,1876
Aizoaceae,Enarganthe,1,127,1876
Aizoaceae,Erepsia,30,127,1876
Aizoaceae,Esterhuysenia,5,127,1876
Aizoaceae,Faucaria,8,127,1876
Aizoaceae,Fenestraria,1,127,1876
Aizoaceae,Frithia,2,127,1876
Aizoaceae,Gibbaeum,18,127,1876
Aizoaceae,Glottiphyllum,16,127,1876
Aizoaceae,Gunniopsis,14,127,1876
Aizoaceae,Hallianthus,1,127,1876
Aizoaceae,Hammeria,3,127,1876
Aizoaceae,Hartmanthus,2,127,1876
Aizoaceae,Hereroa,28,127,1876
Aizoaceae,Hymenogyne,2,127,1876
Aizoaceae,Jacobsenia,2,127,1876
Aizoaceae,Jensenobotrya,1,127,1876
Aizoaceae,Jordaaniella,5,127,1876
Aizoaceae,Juttadinteria,5,127,1876
Aizoaceae,Khadia,6,127,1876
Aizoaceae,Lampranthus,196,127,1876
Aizoaceae,Lapidaria,1,127,1876
Aizoaceae,Leipoldtia,13,127,1876
Aizoaceae,Lemonanthemum,1,127,1876
Aizoaceae,Lithops,39,127,1876
Aizoaceae,Machairophyllum,4,127,1876
Aizoaceae,Malephora,17,127,1876
Aizoaceae,Malotigena,1,127,1876
Aizoaceae,Marlothistella,2,127,1876
Aizoaceae,Mesembryanthemum,106,127,1876
Aizoaceae,Mestoklema,6,127,1876
Aizoaceae,Meyerophytum,2,127,1876
Aizoaceae,Mitrophyllum,7,127,1876
Aizoaceae,Monilaria,5,127,1876
Aizoaceae,Mossia,1,127,1876
Aizoaceae,Namaquanthus,1,127,1876
Aizoaceae,Namibia,2,127,1876
Aizoaceae,Nananthus,6,127,1876
Aizoaceae,Nelia,2,127,1876
Aizoaceae,Neohenricia,2,127,1876
Aizoaceae,Octopoma,4,127,1876
Aizoaceae,Oophytum,2,127,1876
Aizoaceae,Orthopterum,2,127,1876
Aizoaceae,Oscularia,8,127,1876
Aizoaceae,Ottosonderia,1,127,1876
Aizoaceae,Peersia,3,127,1876
Aizoaceae,Phiambolia,10,127,1876
Aizoaceae,Phyllobolus,1,127,1876
Aizoaceae,Pleiospilos,5,127,1876
Aizoaceae,Prepodesma,1,127,1876
Aizoaceae,Psammophora,4,127,1876
Aizoaceae,Rabiea,6,127,1876
Aizoaceae,Rhinephyllum,12,127,1876
Aizoaceae,Rhombophyllum,5,127,1876
Aizoaceae,Roosia,2,127,1876
Aizoaceae,Ruschia,219,127,1876
Aizoaceae,Ruschianthus,1,127,1876
Aizoaceae,Ruschiella,4,127,1876
Aizoaceae,Saphesia,1,127,1876
Aizoaceae,Sarcozona,2,127,1876
Aizoaceae,Schlechteranthus,15,127,1876
Aizoaceae,Schwantesia,11,127,1876
Aizoaceae,Scopelogena,2,127,1876
Aizoaceae,Sesuvium,19,127,1876
Aizoaceae,Skiatophytum,3,127,1876
Aizoaceae,Smicrostigma,1,127,1876
Aizoaceae,Sphalmanthus,1,127,1876
Aizoaceae,Stayneria,1,127,1876
Aizoaceae,Stoeberia,7,127,1876
Aizoaceae,Stomatium,38,127,1876
Aizoaceae,Tanquana,3,127,1876
Aizoaceae,Tetragonia,52,127,1876
Aizoaceae,Titanopsis,3,127,1876
Aizoaceae,Trianthema,32,127,1876
Aizoaceae,Tribulocarpus,2,127,1876
Aizoaceae,Trichodiadema,32,127,1876
Aizoaceae,Vanheerdea,2,127,1876
Aizoaceae,Vanzijlia,1,127,1876
Aizoaceae,Vlokia,2,127,1876
Aizoaceae,Wooleya,1,127,1876
Aizoaceae,Zaleya,6,127,1876
Aizoaceae,Zeuktophyllum,2,127,1876
Akaniaceae,Akania,1,2,2
Akaniaceae,Bretschneidera,1,2,2
Alismataceae,Albidella,4,18,122
Alismataceae,Alisma,14,18,122
Alismataceae,Aquarius,26,18,122
Alismataceae,Astonia,1,18,122
Alismataceae,Baldellia,3,18,122
Alismataceae,Burnatia,1,18,122
Alismataceae,Butomopsis,1,18,122
Alismataceae,Caldesia,4,18,122
Alismataceae,Damasonium,6,18,122
Alismataceae,Echinodorus,1,18,122
Alismataceae,Helanthium,3,18,122
Alismataceae,Hydrocleys,5,18,122
Alismataceae,Limnocharis,2,18,122
Alismataceae,Limnophyton,3,18,122
Alismataceae,Luronium,1,18,122
Alismataceae,Ranalisma,4,18,122
Alismataceae,Sagittaria,40,18,122
Alismataceae,Wiesneria,3,18,122
Alstroemeriaceae,Alstroemeria,145,4,281
Alstroemeriaceae,Bomarea,129,4,281
Alstroemeriaceae,Drymophila,2,4,281
Alstroemeriaceae,Luzuriaga,5,4,281
Altingiaceae,Liquidambar,15,1,15
Amaranthaceae,Achyranthes,12,95,840
Amaranthaceae,Achyropsis,6,95,840
Amaranthaceae,Aerva,19,95,840
Amaranthaceae,Agathophora,1,95,840
Amaranthaceae,Allmania,1,95,840
Amaranthaceae,Allmaniopsis,1,95,840
Amaranthaceae,Alternanthera,137,95,840
Amaranthaceae,Amaranthus,105,95,840
Amaranthaceae,Arthraerua,1,95,840
Amaranthaceae,Blutaparon,4,95,840
Amaranthaceae,Bosea,3,95,840
Amaranthaceae,Calicorema,2,95,840
Amaranthaceae,Celosia,51,95,840
Amaranthaceae,Centema,2,95,840
Amaranthaceae,Centemopsis,13,95,840
Amaranthaceae,Centrostachys,1,95,840
Amaranthaceae,Ceratoides,1,95,840
Amaranthaceae,Chamissoa,2,95,840
Amaranthaceae,Charpentiera,6,95,840
Amaranthaceae,Chionothrix,2,95,840
Amaranthaceae,Choriptera,1,95,840
Amaranthaceae,Cyathula,29,95,840
Amaranthaceae,Cycloloma,1,95,840
Amaranthaceae,Cyphocarpa,1,95,840
Amaranthaceae,Dasysphaera,4,95,840
Amaranthaceae,Deeringia,10,95,840
Amaranthaceae,Dicraurus,1,95,840
Amaranthaceae,Didymanthus,1,95,840
Amaranthaceae,Digera,1,95,840
Amaranthaceae,Einadia,6,95,840
Amaranthaceae,Eriochiton,1,95,840
Amaranthaceae,Eriostylos,1,95,840
Amaranthaceae,Froelichia,15,95,840
Amaranthaceae,Froelichiella,1,95,840
Amaranthaceae,Gamanthus,5,95,840
Amaranthaceae,Gomphrena,134,95,840
Amaranthaceae,Guilleminea,7,95,840
Amaranthaceae,Gyroptera,2,95,840
Amaranthaceae,Halocnemum,2,95,840
Amaranthaceae,Halothamnus,11,95,840
Amaranthaceae,Halotis,1,95,840
Amaranthaceae,Haloxylon,8,95,840
Amaranthaceae,Hammada,3,95,840
Amaranthaceae,Hebanthe,6,95,840
Amaranthaceae,Hemichroa,1,95,840
Amaranthaceae,Henonia,1,95,840
Amaranthaceae,Herbstia,1,95,840
Amaranthaceae,Hermbstaedtia,13,95,840
Amaranthaceae,Horaninovia,2,95,840
Amaranthaceae,Irenella,1,95,840
Amaranthaceae,Iresine,38,95,840
Amaranthaceae,Isgarum,1,95,840
Amaranthaceae,Kelita,1,95,840
Amaranthaceae,Kyphocarpa,3,95,840
Amaranthaceae,Lagrezia,9,95,840
Amaranthaceae,Lecanocarpus,1,95,840
Amaranthaceae,Lecosia,2,95,840
Amaranthaceae,Leucosphaera,1,95,840
Amaranthaceae,Lithophila,1,95,840
Amaranthaceae,Marcelliopsis,3,95,840
Amaranthaceae,Mechowia,1,95,840
Amaranthaceae,Nelsia,3,95,840
Amaranthaceae,Neocentema,1,95,840
Amaranthaceae,Nitrophila,3,95,840
Amaranthaceae,Nothosaerva,1,95,840
Amaranthaceae,Nyssanthes,2,95,840
Amaranthaceae,Pandiaka,13,95,840
Amaranthaceae,Pedersenia,3,95,840
Amaranthaceae,Pfaffia,28,95,840
Amaranthaceae,Philoxerus,1,95,840
Amaranthaceae,Pleuropetalum,3,95,840
Amaranthaceae,Pleuropterantha,1,95,840
Amaranthaceae,Polycnemum,5,95,840
Amaranthaceae,Pseudoplantago,2,95,840
Amaranthaceae,Pseudosericocoma,1,95,840
Amaranthaceae,Psilotrichopsis,1,95,840
Amaranthaceae,Psilotrichum,16,95,840
Amaranthaceae,Ptilotus,16,95,840
Amaranthaceae,Pupalia,3,95,840
Amaranthaceae,Quaternella,2,95,840
Amaranthaceae,Rhagodia,9,95,840
Amaranthaceae,Rosifax,1,95,840
Amaranthaceae,Scleroblitum,1,95,840
Amaranthaceae,Sericocoma,3,95,840
Amaranthaceae,Sericocomopsis,2,95,840
Amaranthaceae,Sericorema,2,95,840
Amaranthaceae,Sericostachys,1,95,840
Amaranthaceae,Stilbanthus,1,95,840
Amaranthaceae,Telanthera,1,95,840
Amaranthaceae,Tidestromia,6,95,840
Amaranthaceae,Traganopsis,1,95,840
Amaranthaceae,Trichuriella,1,95,840
Amaranthaceae,Volkensinia,1,95,840
Amaranthaceae,Wadithamnus,2,95,840
Amaranthaceae,Zuckia,1,95,840
Amaryllidaceae,Acis,9,75,2339
Amaryllidaceae,Agapanthus,7,75,2339
Amaryllidaceae,Allium,970,75,2339
Amaryllidaceae,Amaryllis,3,75,2339
Amaryllidaceae,Ammocharis,7,75,2339
Amaryllidaceae,Apodolirion,8,75,2339
Amaryllidaceae,Boophone,2,75,2339
Amaryllidaceae,Brunsvigia,19,75,2339
Amaryllidaceae,Calicharis,1,75,2339
Amaryllidaceae,Caliphruria,4,75,2339
Amaryllidaceae,Calostemma,3,75,2339
Amaryllidaceae,Cearanthes,1,75,2339
Amaryllidaceae,Chlidanthus,4,75,2339
Amaryllidaceae,Clinanthus,23,75,2339
Amaryllidaceae,Clivia,7,75,2339
Amaryllidaceae,Crinum,116,75,2339
Amaryllidaceae,Crossyne,2,75,2339
Amaryllidaceae,Cryptostephanus,3,75,2339
Amaryllidaceae,Cyrtanthus,58,75,2339
Amaryllidaceae,Eithea,2,75,2339
Amaryllidaceae,Eucrosia,8,75,2339
Amaryllidaceae,Eustephia,6,75,2339
Amaryllidaceae,Galanthus,24,75,2339
Amaryllidaceae,Gethyllis,44,75,2339
Amaryllidaceae,Gilliesia,13,75,2339
Amaryllidaceae,Griffinia,22,75,2339
Amaryllidaceae,Habranthus,80,75,2339
Amaryllidaceae,Haemanthus,22,75,2339
Amaryllidaceae,Hannonia,1,75,2339
Amaryllidaceae,Hessea,14,75,2339
Amaryllidaceae,Hieronymiella,10,75,2339
Amaryllidaceae,Hippeastrum,97,75,2339
Amaryllidaceae,Hymenocallis,65,75,2339
Amaryllidaceae,Ipheion,4,75,2339
Amaryllidaceae,Ismene,11,75,2339
Amaryllidaceae,Lapiedra,1,75,2339
Amaryllidaceae,Latace,2,75,2339
Amaryllidaceae,Leptochiton,2,75,2339
Amaryllidaceae,Leucocoryne,49,75,2339
Amaryllidaceae,Leucojum,3,75,2339
Amaryllidaceae,Lycoris,23,75,2339
Amaryllidaceae,Mathieua,1,75,2339
Amaryllidaceae,Miersia,7,75,2339
Amaryllidaceae,Namaquanula,2,75,2339
Amaryllidaceae,Narcissus,122,75,2339
Amaryllidaceae,Nerine,27,75,2339
Amaryllidaceae,Nothoscordum,91,75,2339
Amaryllidaceae,Pamianthe,2,75,2339
Amaryllidaceae,Pancratium,23,75,2339
Amaryllidaceae,Paramongaia,1,75,2339
Amaryllidaceae,Phaedranassa,10,75,2339
Amaryllidaceae,Phycella,5,75,2339
Amaryllidaceae,Placea,6,75,2339
Amaryllidaceae,Plagiolirion,1,75,2339
Amaryllidaceae,Proiphys,5,75,2339
Amaryllidaceae,Pyrolirion,8,75,2339
Amaryllidaceae,Rauhia,4,75,2339
Amaryllidaceae,Rhodolirium,2,75,2339
Amaryllidaceae,Rhodophiala,25,75,2339
Amaryllidaceae,Scadoxus,9,75,2339
Amaryllidaceae,Schickendantziella,1,75,2339
Amaryllidaceae,Sprekelia,2,75,2339
Amaryllidaceae,Stenomesson,18,75,2339
Amaryllidaceae,Sternbergia,8,75,2339
Amaryllidaceae,Strumaria,27,75,2339
Amaryllidaceae,Traubia,1,75,2339
Amaryllidaceae,Trichlora,4,75,2339
Amaryllidaceae,Tristagma,22,75,2339
Amaryllidaceae,Tulbaghia,28,75,2339
Amaryllidaceae,Ungernia,10,75,2339
Amaryllidaceae,Urceocharis,1,75,2339
Amaryllidaceae,Urceolina,26,75,2339
Amaryllidaceae,Vagaria,2,75,2339
Amaryllidaceae,Worsleya,1,75,2339
Amaryllidaceae,Zephyranthes,87,75,2339
Amblystegiaceae,Amblystegium,13,32,128
Amblystegiaceae,Anacamptodon,13,32,128
Amblystegiaceae,Arvernella,3,32,128
Amblystegiaceae,Bryostreimannia,1,32,128
Amblystegiaceae,Campylium,12,32,128
Amblystegiaceae,Campylophyllopsis,10,32,128
Amblystegiaceae,Campylophyllum,2,32,128
Amblystegiaceae,Conardia,1,32,128
Amblystegiaceae,Cratoneuron,2,32,128
Amblystegiaceae,Cratoneuropsis,2,32,128
Amblystegiaceae,Drepanium,1,32,128
Amblystegiaceae,Drepanocladus,19,32,128
Amblystegiaceae,Gradsteinia,1,32,128
Amblystegiaceae,Hygroamblystegium,5,32,128
Amblystegiaceae,Hygrohypnum,7,32,128
Amblystegiaceae,Jankuceraea,1,32,128
Amblystegiaceae,Kandaea,1,32,128
Amblystegiaceae,Koponenia,1,32,128
Amblystegiaceae,Larrainia,1,32,128
Amblystegiaceae,Leptodictyum,2,32,128
Amblystegiaceae,Limbella,2,32,128
Amblystegiaceae,Microamblystegium,1,32,128
Amblystegiaceae,Microhypnum,1,32,128
Amblystegiaceae,Palustriella,3,32,128
Amblystegiaceae,Pictus,1,32,128
Amblystegiaceae,Platyhypnum,9,32,128
Amblystegiaceae,Pseudoamblystegium,1,32,128
Amblystegiaceae,Pseudocampylium,1,32,128
Amblystegiaceae,Sasaokaea,1,32,128
Amblystegiaceae,Serpoleskea,2,32,128
Amblystegiaceae,Tomentypnum,4,32,128
Amblystegiaceae,Vittia,4,32,128
Anacampserotaceae,Anacampseros,43,3,45
Anacampserotaceae,Grahamia,1,3,45
Anacampserotaceae,Talinopsis,1,3,45
Anacardiaceae,Abrahamia,34,81,965
Anacardiaceae,Actinocheita,1,81,965
Anacardiaceae,Allospondias,2,81,965
Anacardiaceae,Amphipterygium,5,81,965
Anacardiaceae,Anacardium,13,81,965
Anacardiaceae,Androtium,1,81,965
Anacardiaceae,Antrocaryon,5,81,965
Anacardiaceae,Astronium,11,81,965
Anacardiaceae,Attilaea,1,81,965
Anacardiaceae,Baronia,1,81,965
Anacardiaceae,Blepharocarya,2,81,965
Anacardiaceae,Bonetiella,1,81,965
Anacardiaceae,Bouea,4,81,965
Anacardiaceae,Buchanania,27,81,965
Anacardiaceae,Campnosperma,16,81,965
Anacardiaceae,Campylopetalum,1,81,965
Anacardiaceae,Cardenasiodendron,1,81,965
Anacardiaceae,Choerospondias,1,81,965
Anacardiaceae,Comocladia,28,81,965
Anacardiaceae,Cotinus,8,81,965
Anacardiaceae,Cyrtocarpa,4,81,965
Anacardiaceae,Dobinea,2,81,965
Anacardiaceae,Dracontomelon,9,81,965
Anacardiaceae,Drimycarpus,4,81,965
Anacardiaceae,Euroschinus,9,81,965
Anacardiaceae,Faguetia,1,81,965
Anacardiaceae,Fegimanra,3,81,965
Anacardiaceae,Gluta,35,81,965
Anacardiaceae,Haematostaphis,1,81,965
Anacardiaceae,Haplorhus,1,81,965
Anacardiaceae,Harpephyllum,1,81,965
Anacardiaceae,Heeria,1,81,965
Anacardiaceae,Holigarna,9,81,965
Anacardiaceae,Koordersiodendron,1,81,965
Anacardiaceae,Lannea,36,81,965
Anacardiaceae,Laurophyllus,1,81,965
Anacardiaceae,Lithraea,3,81,965
Anacardiaceae,Loxopterygium,4,81,965
Anacardiaceae,Loxostylis,1,81,965
Anacardiaceae,Malosma,1,81,965
Anacardiaceae,Mangifera,64,81,965
Anacardiaceae,Mauria,15,81,965
Anacardiaceae,Melanochyla,23,81,965
Anacardiaceae,Metopium,5,81,965
Anacardiaceae,Micronychia,10,81,965
Anacardiaceae,Mosquitoxylum,1,81,965
Anacardiaceae,Myracrodruon,3,81,965
Anacardiaceae,Nothopegia,10,81,965
Anacardiaceae,Ochoterenaea,1,81,965
Anacardiaceae,Operculicarya,9,81,965
Anacardiaceae,Orthopterygium,1,81,965
Anacardiaceae,Ozoroa,45,81,965
Anacardiaceae,Pachycormus,1,81,965
Anacardiaceae,Parishia,8,81,965
Anacardiaceae,Pegia,2,81,965
Anacardiaceae,Pentaspadon,6,81,965
Anacardiaceae,Pistacia,13,81,965
Anacardiaceae,Pleiogynium,3,81,965
Anacardiaceae,Poupartia,7,81,965
