AccNoFull,ItemAccNoFull,GenusSpecies,Genus,ItemLocationCode,LocationName,ManagedBy,LocationCoordY,LocationCoordX,LifeForm,ProvenanceCode,LocationCoordLatDD,LocationCoordLongDD,LocComment,ItemType,IUCNRedList,NationalRedList,RegionalRedList,Locality,LocalityFull,TaxonName,TaxonNameFull,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,Family
2022-0480,2022-0480.88,Abies amabilis,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,Yellow-listed British Columbia,"Mt. Hood National Forest, northern and southern roadside slope of Timberline Highway","USA: Oregon, Clackamas County, Mt. Hood National Forest, northern and southern roadside slope of Timberline Highway, 1396 m, 45.30612657 | -121.7119994",Abies amabilis,Abies amabilis Douglas ex J.Forbes,9,6,3,3,Pinaceae
2022-0480,2022-0480.87,Abies amabilis,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,Yellow-listed British Columbia,"Mt. Hood National Forest, northern and southern roadside slope of Timberline Highway","USA: Oregon, Clackamas County, Mt. Hood National Forest, northern and southern roadside slope of Timberline Highway, 1396 m, 45.30612657 | -121.7119994",Abies amabilis,Abies amabilis Douglas ex J.Forbes,9,6,3,3,Pinaceae
2022-0565,2022-0565.88,Abies bracteata,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,Z,49.249515,-123.234415,,Planting,Near threatened,,,,USA: California,Abies bracteata,Abies bracteata (D.Don) Poit.,11,11,9,6,Pinaceae
2022-0505,2022-0505.88,Abies concolor,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,,,,"Klamath National Forest, off Forest Service Road 14N21","USA: California, Siskiyou County, Klamath National Forest, off Forest Service Road 14N21, 1105 m, 41.5508 | -123.62141",Abies concolor var. lowiana,Abies concolor var. lowiana Lemmon,11,8,6,5,Pinaceae
2022-0515,2022-0515.87,Abies concolor,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,"Shasta-Trinity National Forest, Near Taylor Lake Trailhead along Forest Service Road 41N18","USA: California, Siskiyou County, Shasta-Trinity National Forest, Near Taylor Lake Trailhead along Forest Service Road 41N18, 1936 m, 41.3686 | -122.97538",Abies concolor,Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.,11,8,6,5,Pinaceae
2022-0515,2022-0515.88,Abies concolor,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,"Shasta-Trinity National Forest, Near Taylor Lake Trailhead along Forest Service Road 41N18","USA: California, Siskiyou County, Shasta-Trinity National Forest, Near Taylor Lake Trailhead along Forest Service Road 41N18, 1936 m, 41.3686 | -122.97538",Abies concolor,Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.,11,8,6,5,Pinaceae
2022-0537,2022-0537.87,Abies grandis,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,Yellow-listed British Columbia,"Rogue-River Siskiyou National Forest, along Briggs Valley Road about 5 miles of US Rte. 199","USA: Oregon, Josephine County, Rogue-River Siskiyou National Forest, along Briggs Valley Road about 5 miles of US Rte. 199, 1216 m, 42.36839 | -123.64302",Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,11,11,5,5,Pinaceae
2022-0482,2022-0482.87,Abies lasiocarpa,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,"Mt. Hood National Forest, Abbott Burn, Ripplebrook Ranger District, 0.5 mile due north of Forest Road 58","USA: Oregon, Clackamas County, Mt. Hood National Forest, Abbott Burn, Ripplebrook Ranger District, 0.5 mile due north of Forest Road 58, 45.17983 | -121.81222",Abies lasiocarpa,Abies lasiocarpa Endl.,9,6,3,3,Pinaceae
2022-0482,2022-0482.88,Abies lasiocarpa,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,"Mt. Hood National Forest, Abbott Burn, Ripplebrook Ranger District, 0.5 mile due north of Forest Road 58","USA: Oregon, Clackamas County, Mt. Hood National Forest, Abbott Burn, Ripplebrook Ranger District, 0.5 mile due north of Forest Road 58, 45.17983 | -121.81222",Abies lasiocarpa,Abies lasiocarpa Endl.,9,6,3,3,Pinaceae
2022-0484,2022-0484.88,Abies procera,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,"Mt. Hood National Forest, High Rock, off Road 58","USA: Oregon, Clackamas County, Mt. Hood National Forest, High Rock, off Road 58, 1405 m, 45.16153 | -121.89387",Abies procera,Abies procera Rehder,9,6,5,5,Pinaceae
2022-0542,2022-0542.87,Abies procera,Abies,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,"Mt. Hood National Forest, Flag Point Lookout Road at Cold Springs Road","USA: Oregon, Wasco County, Mt. Hood National Forest, Flag Point Lookout Road at Cold Springs Road, 1365 m, 45.34621 | -121.45422",Abies procera,Abies procera Rehder,9,6,5,5,Pinaceae
2022-0223,2022-0223.88,Acer fabri,Acer,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,G,49.249515,-123.234415,,Planting,,,,,,Acer fabri,Acer fabri Hance,6,9,9,9,Sapindaceae
