AccNoFull,ItemAccNoFull,GenusSpecies,Genus,ItemLocationCode,LocationName,ManagedBy,LocationCoordY,LocationCoordX,LifeForm,ProvenanceCode,LocationCoordLatDD,LocationCoordLongDD,LocComment,ItemType,IUCNRedList,NationalRedList,RegionalRedList,Locality,LocalityFull,TaxonName,TaxonNameFull,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,Family
2006-0241,2006-0241.01,Epimedium davidii,Epimedium,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Epimedium davidii,Epimedium davidii Franch.,9,9,11,11,Berberidaceae
1992-0679,1992-0679.04,Epimedium pinnatum,Epimedium,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Epimedium pinnatum subsp. colchicum,Epimedium pinnatum Fisch. subsp. colchicum (Boiss.) Busch,9,11,8,3,Berberidaceae
2024-0070,2024-0070.01,Epimedium sp.,Epimedium,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Epimedium sp.,Epimedium sp.,,,,,Berberidaceae
2024-0075,2024-0075.01,Epimedium sp.,Epimedium,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Epimedium sp.,Epimedium sp.,,,,,Berberidaceae
1999-0241,1999-0241.01,Euonymus fortunei,Euonymus,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Climber_Liana_Vine,W,49.253935,-123.250754,,Planting,,,,,,Euonymus fortunei 'Wolong Ghost',Euonymus fortunei (Turcz.) Hand.-Mazz. 'Wolong Ghost',11,11,8,6,Celastraceae
2013-0109,2013-0109.02,Fargesia scabrida,Fargesia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Fargesia scabrida,Fargesia scabrida T.P.Yi,9,9,11,3,Poaceae
1995-0740,1995-0740.01,Geranium asphodeloides,Geranium,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,U,49.253935,-123.250754,,Planting,,,,,,Geranium asphodeloides,Geranium asphodeloides Burm.f.,11,11,8,5,Geraniaceae
1978-0041,1978-0041.01,Ginkgo biloba,Ginkgo,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,G,49.253935,-123.250754,,Planting,Endangered,,,,,Ginkgo biloba,Ginkgo biloba L.,9,11,9,11,Ginkgoaceae
1990-0404,1990-0404.06,Hemerocallis fulva,Hemerocallis,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Tian Tai,"CHN: Zhejiang Province, Tian Tai, 600 m",Hemerocallis fulva var. angustifolia,Hemerocallis fulva (L.) L. var. angustifolia Baker,11,11,9,6,Asphodelaceae
1998-0810,1998-0810.01,Hydrangea aspera,Hydrangea,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Hydrangea aspera 'Spinners',Hydrangea aspera Buch.-Ham. ex D.Don 'Spinners',9,11,11,11,Hydrangeaceae
1998-0845,1998-0845.01,Hydrangea aspera,Hydrangea,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Hydrangea aspera 'Peter Chappell',Hydrangea aspera Buch.-Ham. ex D.Don 'Peter Chappell',9,11,11,11,Hydrangeaceae
1999-0229,1999-0229.01,Hydrangea serrata,Hydrangea,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Hydrangea serrata 'Shishiba',Hydrangea serrata (Thunb.) Ser. 'Shishiba',11,11,9,6,Hydrangeaceae
1999-0229,1999-0229.02,Hydrangea serrata,Hydrangea,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Hydrangea serrata 'Shishiba',Hydrangea serrata (Thunb.) Ser. 'Shishiba',11,11,9,6,Hydrangeaceae
1999-0229,1999-0229.03,Hydrangea serrata,Hydrangea,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Hydrangea serrata 'Shishiba',Hydrangea serrata (Thunb.) Ser. 'Shishiba',11,11,9,6,Hydrangeaceae
1998-0399,1998-0399.01,Hypericum forrestii,Hypericum,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Hypericum forrestii,Hypericum forrestii (Chitt.) N.Robson,11,11,11,8,Hypericaceae
1998-0399,1998-0399.05,Hypericum forrestii,Hypericum,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Hypericum forrestii,Hypericum forrestii (Chitt.) N.Robson,11,11,11,8,Hypericaceae
1998-0891,1998-0891.01,Ilex pernyi,Ilex,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Da Gou stream up to 1.5km se.of Maowen Res.Stat.,"CHN: Sichuan Province, Da Gou stream up to 1.5km se.of Maowen Res.Stat., 2010 m",Ilex pernyi,Ilex pernyi Franch.,9,9,11,11,Aquifoliaceae
2023-0195,2023-0195.01,Impatiens parviflora,Impatiens,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Annual,U,49.253935,-123.250754,,Flora (On-Site Origin),,,Exotic British Columbia,,,Impatiens parviflora,Impatiens parviflora DC.,,,,,Balsaminaceae
1982-0288,1982-0288.01,Kadsura japonica,Kadsura,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Climber_Liana_Vine,G,49.253935,-123.250754,,Planting,,,,,,Kadsura japonica,Kadsura japonica (L.) Dunal,9,9,11,11,Schisandraceae
1983-0076,1983-0076.02,Kirengeshoma palmata,Kirengeshoma,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,"Gwangyang,S.Korea","KOR: Gwangyang,S.Korea",Kirengeshoma palmata Koreana Group,Kirengeshoma palmata Yatabe Koreana Group,11,11,8,8,Hydrangeaceae
1983-0076,1983-0076.02,Kirengeshoma palmata,Kirengeshoma,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,"Gwangyang,S.Korea","KOR: Gwangyang,S.Korea",Kirengeshoma palmata Koreana Group,Kirengeshoma palmata Yatabe Koreana Group,11,11,8,8,Hydrangeaceae
2015-0493,2015-0493.03,Lysimachia clethroides,Lysimachia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Lysimachia clethroides,Lysimachia clethroides Duby,11,11,8,6,Primulaceae
2015-0493,2015-0493.04,Lysimachia clethroides,Lysimachia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Lysimachia clethroides,Lysimachia clethroides Duby,11,11,8,6,Primulaceae
2012-0179,2012-0179.09,Magnolia laevifolia,Magnolia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,G,49.253935,-123.250754,,Planting,Data deficient,,,,,Magnolia laevifolia,Magnolia laevifolia (Y.W.Law & Y.F.Wu) Noot.,9,9,9,11,Magnoliaceae
2018-0565,2018-0565.01,Magnolia patungensis,Magnolia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,G,49.253935,-123.250754,,Planting,Endangered,,,,,Magnolia patungensis,Magnolia patungensis (Hu) Noot.,2,5,11,11,Magnoliaceae
2018-0564,2018-0564.01,Magnolia salicifolia,Magnolia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,G,49.253935,-123.250754,,Planting,Least concern,,,,,Magnolia salicifolia,Magnolia salicifolia Maxim.,11,11,8,5,Magnoliaceae
1992-0580,1992-0580.07,Miscanthus sinensis,Miscanthus,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Miscanthus sinensis var. condensatus,Miscanthus sinensis Anderss. var. condensatus (Hack.) Mak.,11,11,11,8,Poaceae
1998-0740,1998-0740.02,Osmanthus yunnanensis,Osmanthus,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Osmanthus yunnanensis,Osmanthus yunnanensis (Franch.) P.S.Green,11,11,11,11,Oleaceae
2000-0668,2000-0668.02,Paeonia rockii,Paeonia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,,"CHN: Shanxi Province, 2100 m",Paeonia rockii,Paeonia rockii (S.G.Haw & Lauener) T.Hong & J.J.Li,11,11,8,5,Paeoniaceae
2001-0538,2001-0538.01,Paeonia rockii,Paeonia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,,"CHN: Shanxi Province, 2300 m",Paeonia rockii,Paeonia rockii (S.G.Haw & Lauener) T.Hong & J.J.Li,11,11,8,5,Paeoniaceae
2001-0538,2001-0538.02,Paeonia rockii,Paeonia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,,"CHN: Shanxi Province, 2300 m",Paeonia rockii,Paeonia rockii (S.G.Haw & Lauener) T.Hong & J.J.Li,11,11,8,5,Paeoniaceae
2001-0538,2001-0538.03,Paeonia rockii,Paeonia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,,"CHN: Shanxi Province, 2300 m",Paeonia rockii,Paeonia rockii (S.G.Haw & Lauener) T.Hong & J.J.Li,11,11,8,5,Paeoniaceae
2001-0538,2001-0538.04,Paeonia rockii,Paeonia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,,"CHN: Shanxi Province, 2300 m",Paeonia rockii,Paeonia rockii (S.G.Haw & Lauener) T.Hong & J.J.Li,11,11,8,5,Paeoniaceae
2002-0464,2002-0464.01,Paeonia rockii,Paeonia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,,CHN: Guizhou Province,Paeonia rockii,Paeonia rockii (S.G.Haw & Lauener) T.Hong & J.J.Li,11,11,8,5,Paeoniaceae
2002-0464,2002-0464.02,Paeonia rockii,Paeonia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,,CHN: Guizhou Province,Paeonia rockii,Paeonia rockii (S.G.Haw & Lauener) T.Hong & J.J.Li,11,11,8,5,Paeoniaceae
2002-0464,2002-0464.03,Paeonia rockii,Paeonia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,,CHN: Guizhou Province,Paeonia rockii,Paeonia rockii (S.G.Haw & Lauener) T.Hong & J.J.Li,11,11,8,5,Paeoniaceae
2010-0726,2010-0726.03,Philadelphus subcanus,Philadelphus,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,,Planting,,,,"Tianquan, Erlang Shan","CHN: Sichuan Province, Tianquan, Erlang Shan, 2280 m, 29.87703301 | 102.299677",Philadelphus subcanus var. subcanus,Philadelphus subcanus Koehne var. subcanus,9,11,11,11,Hydrangeaceae
2014-0423,2014-0423.01,Pieris sp.,Pieris,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,U,49.253935,-123.250754,,Planting,,,,,,Pieris sp.,Pieris sp.,,,,,Ericaceae
2014-0423,2014-0423.02,Pieris sp.,Pieris,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,U,49.253935,-123.250754,,Planting,,,,,,Pieris sp.,Pieris sp.,,,,,Ericaceae
2011-0459,2011-0459.03,Pinus densata,Pinus,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,W,49.253935,-123.250754,,Planting,Least concern,,,"Shangri La, road from Zhongdian to Daocheng near Daxue Shan","CHN: Yunnan Province, Shangri La, road from Zhongdian to Daocheng near Daxue Shan, 3009 m, 28.14056704 | 99.74710003",Pinus densata,Pinus densata Masters,11,11,8,8,Pinaceae
1992-0685,1992-0685.01,Pleioblastus viridistriatus,Pleioblastus,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Pleioblastus viridistriatus,Pleioblastus viridistriatus (Regel) Makino,9,9,11,11,Poaceae
2000-0370,2000-0370.01,Polystichum polyblepharum,Polystichum,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Polystichum polyblepharum,Polystichum polyblepharum Nakai,,,,,Dryopteridaceae
1992-0684,1992-0684.01,Pseudosasa humilis,Pseudosasa,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Pseudosasa humilis,Pseudosasa humilis (Mitford) T.Q.Nguyen,8,11,11,9,Poaceae
1976-0740,1976-0740.01,Rehderodendron macrocarpum,Rehderodendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,G,49.253935,-123.250754,,Planting,Near threatened,,,,,Rehderodendron macrocarpum,Rehderodendron macrocarpum Hu,9,9,11,11,Styracaceae
1977-0428,1977-0428.01,Rhododendron,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Rhododendron 'Sir Charles Lemon',Rhododendron 'Sir Charles Lemon',,,,,Ericaceae
1984-0276,1984-0276.01,Rhododendron arboreum,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Gurkha,"NPL: Gurkha, 3048 m",Rhododendron arboreum var. roseum,Rhododendron arboreum Smith var. roseum Lindley,11,11,11,11,Ericaceae
1984-0276,1984-0276.02,Rhododendron arboreum,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Gurkha,"NPL: Gurkha, 3048 m",Rhododendron arboreum var. roseum,Rhododendron arboreum Smith var. roseum Lindley,11,11,11,11,Ericaceae
1984-0276,1984-0276.03,Rhododendron arboreum,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Gurkha,"NPL: Gurkha, 3048 m",Rhododendron arboreum var. roseum,Rhododendron arboreum Smith var. roseum Lindley,11,11,11,11,Ericaceae
1984-0276,1984-0276.04,Rhododendron arboreum,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Gurkha,"NPL: Gurkha, 3048 m",Rhododendron arboreum var. roseum,Rhododendron arboreum Smith var. roseum Lindley,11,11,11,11,Ericaceae
1964-0018,1964-0018.01,Rhododendron argyrophyllum,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Rhododendron argyrophyllum subsp. nankingense 'Chinese Silver',Rhododendron argyrophyllum Franch. subsp. nankingense (Cowan) D.F.Chamb. 'Chinese Silver',9,8,11,11,Ericaceae
1964-0018,1964-0018.02,Rhododendron argyrophyllum,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Rhododendron argyrophyllum subsp. nankingense 'Chinese Silver',Rhododendron argyrophyllum Franch. subsp. nankingense (Cowan) D.F.Chamb. 'Chinese Silver',9,8,11,11,Ericaceae
1964-0018,1964-0018.03,Rhododendron argyrophyllum,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Rhododendron argyrophyllum subsp. nankingense 'Chinese Silver',Rhododendron argyrophyllum Franch. subsp. nankingense (Cowan) D.F.Chamb. 'Chinese Silver',9,8,11,11,Ericaceae
2006-0188,2006-0188.01,Rhododendron barbatum,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,,Planting,,,,,,Rhododendron barbatum,Rhododendron barbatum G.Don,11,5,5,5,Ericaceae
1991-0390,1991-0390.01,Rhododendron bureavioides,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Kangding (east of),"CHN: Sichuan Province, Kangding (east of), 3050 m",Rhododendron bureavioides,Rhododendron bureavioides Balf.f.,,,,,Ericaceae
1991-0390,1991-0390.02,Rhododendron bureavioides,Rhododendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Kangding (east of),"CHN: Sichuan Province, Kangding (east of), 3050 m",Rhododendron bureavioides,Rhododendron bureavioides Balf.f.,,,,,Ericaceae
2000-0484,2000-0484.02,Ribes davidii,Ribes,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,W,49.253935,-123.250754,,Planting,,,,Kunming,"CHN: Yunnan Province, Kunming, 1950 m",Ribes davidii,Ribes davidii Franch.,11,11,11,11,Grossulariaceae
1998-0229,1998-0229.01,Rodgersia aesculifolia,Rodgersia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,,CHN: Sichuan Province,Rodgersia aesculifolia,Rodgersia aesculifolia Batalin,11,11,11,8,Saxifragaceae
2002-0166,2002-0166.01,Rodgersia pinnata,Rodgersia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16; Napahai = ???,Planting,,,,Napa Hai,"CHN: Yunnan Province, Napa Hai, 3500 m",Rodgersia pinnata,Rodgersia pinnata Franch.,11,11,11,8,Saxifragaceae
1988-0361,1988-0361.01,Rodgersia podophylla,Rodgersia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Rodgersia podophylla 'Rotlaub',Rodgersia podophylla A.Gray 'Rotlaub',11,6,3,3,Saxifragaceae
1978-0313,1978-0313.05,Rodgersia sambucifolia,Rodgersia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,G,49.253935,-123.250754,,Planting,,,,,,Rodgersia sambucifolia,Rodgersia sambucifolia Hemsl.,11,11,11,11,Saxifragaceae
2001-0400,2001-0400.01,Rodgersia sambucifolia,Rodgersia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Longzhou Shan,"CHN: Yunnan Province, Longzhou Shan, 3224 m",Rodgersia sambucifolia,Rodgersia sambucifolia Hemsl.,11,11,11,11,Saxifragaceae
1989-0546,1989-0546.04,Salix gilgiana,Salix,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub,G,49.253935,-123.250754,,Planting,,,,,,Salix gilgiana,Salix gilgiana Seemen,11,11,11,8,Salicaceae
2012-0327,2012-0327.01,Sciadopitys verticillata,Sciadopitys,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,G,49.253935,-123.250754,,Planting,Near threatened,,,,,Sciadopitys verticillata,Sciadopitys verticillata Siebold & Zucc.,11,11,8,5,Sciadopityaceae
2012-0327,2012-0327.02,Sciadopitys verticillata,Sciadopitys,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,G,49.253935,-123.250754,,Planting,Near threatened,,,,,Sciadopitys verticillata,Sciadopitys verticillata Siebold & Zucc.,11,11,8,5,Sciadopityaceae
2012-0327,2012-0327.03,Sciadopitys verticillata,Sciadopitys,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,G,49.253935,-123.250754,,Planting,Near threatened,,,,,Sciadopitys verticillata,Sciadopitys verticillata Siebold & Zucc.,11,11,8,5,Sciadopityaceae
2018-0845,2018-0845.01,Sinopanax formosanus,Sinopanax,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,G,49.253935,-123.250754,,Planting,Vulnerable,,,,,Sinopanax formosanus,Sinopanax formosanus (Hayata) H.L.Li,8,11,11,11,Araliaceae
1984-0382,1984-0382.02,Stewartia pseudocamellia,Stewartia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,G,49.253935,-123.250754,,Planting,,,,,,Stewartia pseudocamellia,Stewartia pseudocamellia Maxim.,11,11,8,8,Theaceae
1989-0665,1989-0665.01,Styrax confusus,Styrax,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Huangshan,"CHN: Anhui Province, Huangshan",Styrax confusus,Styrax confusus Hemsl.,9,9,9,9,Styracaceae
1981-0123,1981-0123.01,Styrax japonicus,Styrax,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,G,49.253935,-123.250754,,Planting,,,,,,Styrax japonicus 'Fargesii',Styrax japonicus Siebold & Zucc. 'Fargesii',9,11,11,11,Styracaceae
1993-0555,1993-0555.01,Taxus wallichiana,Taxus,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,G,49.253935,-123.250754,,Planting,Vulnerable,,,,,Taxus wallichiana var. mairei,Taxus wallichiana (Lemee/H.Lev) Lk Fu/Nan Li var. mairei (Lemée & H.Lév.) L.K.Fu & Nan Li,11,11,11,11,Taxaceae
1993-0555,1993-0555.04,Taxus wallichiana,Taxus,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,G,49.253935,-123.250754,,Planting,Vulnerable,,,,,Taxus wallichiana var. mairei,Taxus wallichiana (Lemee/H.Lev) Lk Fu/Nan Li var. mairei (Lemée & H.Lév.) L.K.Fu & Nan Li,11,11,11,11,Taxaceae
1993-0555,1993-0555.05,Taxus wallichiana,Taxus,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,G,49.253935,-123.250754,,Planting,Vulnerable,,,,,Taxus wallichiana var. mairei,Taxus wallichiana (Lemee/H.Lev) Lk Fu/Nan Li var. mairei (Lemée & H.Lév.) L.K.Fu & Nan Li,11,11,11,11,Taxaceae
2016-0421,2016-0421.02,Thuja plicata,Thuja,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,W,49.253935,-123.250754,,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,Thuja plicata,Thuja plicata Donn ex D.Don,11,9,6,6,Cupressaceae
2016-0421,2016-0421.93,Thuja plicata,Thuja,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Tree,W,49.253935,-123.250754,,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,Thuja plicata,Thuja plicata Donn ex D.Don,11,9,6,6,Cupressaceae
2009-0316,2009-0316.01,Trochodendron aralioides,Trochodendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Yeakou,"TWN: Yeakou, 2335 m",Trochodendron aralioides,Trochodendron aralioides Siebold & Zucc.,9,11,11,11,Trochodendraceae
2009-0316,2009-0316.02,Trochodendron aralioides,Trochodendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Yeakou,"TWN: Yeakou, 2335 m",Trochodendron aralioides,Trochodendron aralioides Siebold & Zucc.,9,11,11,11,Trochodendraceae
2009-0316,2009-0316.03,Trochodendron aralioides,Trochodendron,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Shrub or Tree,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Yeakou,"TWN: Yeakou, 2335 m",Trochodendron aralioides,Trochodendron aralioides Siebold & Zucc.,9,11,11,11,Trochodendraceae
2002-0106,2002-0106.01,Woodwardia prolifera,Woodwardia,3AA3,Asian Garden,Andy Hill,-123.250754,49.253935,Herbaceous Perennial,W,49.253935,-123.250754,Original locality is batch imported on 2019 Aug 16;,Planting,,,,high mtns of central Taiwan,TWN: high mtns of central Taiwan,Woodwardia prolifera,Woodwardia prolifera Hook. & Arn.,9,9,9,9,Blechnaceae
1997-0379,1997-0379.01,Aconitum uchiyamai,Aconitum,3AA4,Asian Garden,Andy Hill,-123.2499776,49.25365216,Herbaceous Perennial,G,49.253652,-123.249978,,Planting,,,,,,Aconitum uchiyamai,Aconitum uchiyamai Nakai,,,,,Ranunculaceae
1983-0149,1983-0149.02,Actinidia deliciosa,Actinidia,3AA4,Asian Garden,Andy Hill,-123.2499776,49.25365216,Climber_Liana_Vine,G,49.253652,-123.249978,,Planting,,,,,,Actinidia deliciosa,Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson,,,,,Actinidiaceae
2003-0261,2003-0261.01,Aria globosa,Aria,3AA4,Asian Garden,Andy Hill,-123.2499776,49.25365216,Tree,W,49.253652,-123.249978,Original locality is batch imported on 2019 Aug 16;,Planting,,,,Miaoer Shan,"CHN: Guizhou Province, Miaoer Shan, 2100 m, 25 54'35"" | 110 26'58""",Aria globosa,Aria globosa (T.T.Yu & H.T.Tsai) H.Ohashi & Iketani,2,5,8,11,Rosaceae
1981-0275,1981-0275.02,Aria yuana,Aria,3AA4,Asian Garden,Andy Hill,-123.2499776,49.25365216,Tree,W,49.253652,-123.249978,Original locality is batch imported on 2019 Aug 16;,Planting,,,,"Shennongjia Forest District, between Yinpo and Qiaodonggou canyon on the road between Jiuhuping Forest Farm and Bancang","CHN: Hubei Province, Shennongjia Forest District, between Yinpo and Qiaodonggou canyon on the road between Jiuhuping Forest Farm and Bancang, 2100 m, 31° 30' N | 110° 30' E",Aria yuana,Aria yuana (Spongberg) H.Ohashi & Iketani,11,11,11,11,Rosaceae
2011-0621,2011-0621.01,Arisaema tortuosum,Arisaema,3AA4,Asian Garden,Andy Hill,-123.2499776,49.25365216,Herbaceous Perennial,U,49.253652,-123.249978,,Planting,,,,,,Arisaema tortuosum,Arisaema tortuosum (Wall.) Schott,9,11,11,11,Araceae
