AccNoFull,ItemAccNoFull,Family,Genus,GenusSpecies,TaxonName,ItemLocationCode,LocationName,LocationCoordLatDD,LocationCoordLongDD,ManagedBy,ItemType,ProvenanceCode,IUCNRedList,NationalRedList,RegionalRedList,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,LocalityFull,LifeForm,LocComment,TaxonNameFull,LocationCoordX,LocationCoordY,Locality
2022-0480,2022-0480.87,Pinaceae,Abies,Abies amabilis,Abies amabilis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,Yellow-listed British Columbia,9.0,6.0,3.0,3.0,"USA: Oregon, Clackamas County, Mt. Hood National Forest, northern and southern roadside slope of Timberline Highway, 1396 m, 45.30612657 | -121.7119994",Tree,,Abies amabilis Douglas ex J.Forbes,49.249515,-123.234415,"Mt. Hood National Forest, northern and southern roadside slope of Timberline Highway"
2022-0565,2022-0565.88,Pinaceae,Abies,Abies bracteata,Abies bracteata,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,Z,Near threatened,,,11.0,11.0,9.0,6.0,USA: California,Tree,,Abies bracteata (D.Don) Poit.,49.249515,-123.234415,
2022-0505,2022-0505.88,Pinaceae,Abies,Abies concolor,Abies concolor var. lowiana,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,8.0,6.0,5.0,"USA: California, Siskiyou County, Klamath National Forest, off Forest Service Road 14N21, 1105 m, 41.5508 | -123.62141",Tree,,Abies concolor var. lowiana Lemmon,49.249515,-123.234415,"Klamath National Forest, off Forest Service Road 14N21"
2022-0515,2022-0515.87,Pinaceae,Abies,Abies concolor,Abies concolor,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,11.0,8.0,6.0,5.0,"USA: California, Siskiyou County, Shasta-Trinity National Forest, Near Taylor Lake Trailhead along Forest Service Road 41N18, 1936 m, 41.3686 | -122.97538",Tree,,Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.,49.249515,-123.234415,"Shasta-Trinity National Forest, Near Taylor Lake Trailhead along Forest Service Road 41N18"
2022-0515,2022-0515.88,Pinaceae,Abies,Abies concolor,Abies concolor,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,11.0,8.0,6.0,5.0,"USA: California, Siskiyou County, Shasta-Trinity National Forest, Near Taylor Lake Trailhead along Forest Service Road 41N18, 1936 m, 41.3686 | -122.97538",Tree,,Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.,49.249515,-123.234415,"Shasta-Trinity National Forest, Near Taylor Lake Trailhead along Forest Service Road 41N18"
2022-0537,2022-0537.87,Pinaceae,Abies,Abies grandis,Abies grandis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,Yellow-listed British Columbia,11.0,11.0,5.0,5.0,"USA: Oregon, Josephine County, Rogue-River Siskiyou National Forest, along Briggs Valley Road about 5 miles of US Rte. 199, 1216 m, 42.36839 | -123.64302",Tree,,Abies grandis (Douglas ex D.Don) Lindl.,49.249515,-123.234415,"Rogue-River Siskiyou National Forest, along Briggs Valley Road about 5 miles of US Rte. 199"
2022-0482,2022-0482.87,Pinaceae,Abies,Abies lasiocarpa,Abies lasiocarpa,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,9.0,6.0,3.0,3.0,"USA: Oregon, Clackamas County, Mt. Hood National Forest, Abbott Burn, Ripplebrook Ranger District, 0.5 mile due north of Forest Road 58, 45.17983 | -121.81222",Tree,,Abies lasiocarpa Endl.,49.249515,-123.234415,"Mt. Hood National Forest, Abbott Burn, Ripplebrook Ranger District, 0.5 mile due north of Forest Road 58"
2022-0482,2022-0482.88,Pinaceae,Abies,Abies lasiocarpa,Abies lasiocarpa,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,9.0,6.0,3.0,3.0,"USA: Oregon, Clackamas County, Mt. Hood National Forest, Abbott Burn, Ripplebrook Ranger District, 0.5 mile due north of Forest Road 58, 45.17983 | -121.81222",Tree,,Abies lasiocarpa Endl.,49.249515,-123.234415,"Mt. Hood National Forest, Abbott Burn, Ripplebrook Ranger District, 0.5 mile due north of Forest Road 58"
2022-0484,2022-0484.88,Pinaceae,Abies,Abies procera,Abies procera,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,9.0,6.0,5.0,5.0,"USA: Oregon, Clackamas County, Mt. Hood National Forest, High Rock, off Road 58, 1405 m, 45.16153 | -121.89387",Tree,,Abies procera Rehder,49.249515,-123.234415,"Mt. Hood National Forest, High Rock, off Road 58"
2022-0542,2022-0542.87,Pinaceae,Abies,Abies procera,Abies procera,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,9.0,6.0,5.0,5.0,"USA: Oregon, Wasco County, Mt. Hood National Forest, Flag Point Lookout Road at Cold Springs Road, 1365 m, 45.34621 | -121.45422",Tree,,Abies procera Rehder,49.249515,-123.234415,"Mt. Hood National Forest, Flag Point Lookout Road at Cold Springs Road"
