AccNoFull,ItemAccNoFull,Family,Genus,GenusSpecies,TaxonName,ItemLocationCode,LocationName,LocationCoordLatDD,LocationCoordLongDD,ManagedBy,ItemType,ProvenanceCode,IUCNRedList,NationalRedList,RegionalRedList,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,LocalityFull,LifeForm,LocComment,TaxonNameFull,LocationCoordX,LocationCoordY,Locality
2023-0443,2023-0443.87,Fagaceae,Quercus,Quercus douglasii,Quercus douglasii,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,,,,,"USA: California, Shasta County, Hwy 36 roadside, 167 m, 40.24664 | -122.15071",Tree,,Quercus douglasii Hook. & Arn.,49.249515,-123.234415,Hwy 36 roadside
2023-0422,2023-0422.87,Fagaceae,Quercus,Quercus durata,Quercus durata,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,,,,,"USA: California, Trinity County, Shasta-Trinity National Forest, Along 30N48 Forest Rd off Hwy3, 900 m, 40.4398 | -123.1583",Tree,,Quercus durata Jeps.,49.249515,-123.234415,"Shasta-Trinity National Forest, Along 30N48 Forest Rd off Hwy3"
2023-0422,2023-0422.88,Fagaceae,Quercus,Quercus durata,Quercus durata,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,,,,,"USA: California, Trinity County, Shasta-Trinity National Forest, Along 30N48 Forest Rd off Hwy3, 900 m, 40.4398 | -123.1583",Tree,,Quercus durata Jeps.,49.249515,-123.234415,"Shasta-Trinity National Forest, Along 30N48 Forest Rd off Hwy3"
2019-1069,2019-1069.88,Fagaceae,Quercus,Quercus ellipsoidalis,Quercus ellipsoidalis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,11.0,6.0,3.0,3.0,"CAN: Ontario, Brant County, South of Glen Morris on West Dumfries Road, 270 m, 43.24898 | -80.371414",Tree,,Quercus ellipsoidalis E.J.Hill,49.249515,-123.234415,South of Glen Morris on West Dumfries Road
2023-0466,2023-0466.88,Fagaceae,Quercus,Quercus ellipsoidalis,Quercus ellipsoidalis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,11.0,6.0,3.0,3.0,"CAN: Ontario, Brant County, South of Glen Morris on West Dumfries Road, 270 m, 43.24898 | -80.371414",Tree,,Quercus ellipsoidalis E.J.Hill,49.249515,-123.234415,South of Glen Morris on West Dumfries Road
2023-0445,2023-0445.87,Fagaceae,Quercus,Quercus garryana,Quercus garryana var. semota,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,11.0,11.0,8.0,6.0,"USA: California, Tehama County, Lassen National Forest, Road 140A, west of Mineral, just below road, 1433 m, 40.35559 | -121.64117",Tree,,Quercus garryana var. semota,49.249515,-123.234415,"Lassen National Forest, Road 140A, west of Mineral, just below road"
2022-0501,2022-0501.88,Fagaceae,Quercus,Quercus kelloggii,Quercus kelloggii,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,11.0,11.0,9.0,"USA: California, Siskiyou County, Klamath National Forest, intersection of Forest Service Roads 13N35 and 14N21, 1061 m, 41.53368 | -123.58583",Tree,,Quercus kelloggii Newb.,49.249515,-123.234415,"Klamath National Forest, intersection of Forest Service Roads 13N35 and 14N21"
2023-0462,2023-0462.87,Fagaceae,Quercus,Quercus muehlenbergii,Quercus muehlenbergii,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,,,,,"CAN: Ontario, Niagara Region, Upper ridge of Niagara Gorge just north of Niagara Parks Botanical Garden, 172 m, 43.1241 | -79.07642",Tree,,Quercus muehlenbergii Engelm.,49.249515,-123.234415,Upper ridge of Niagara Gorge just north of Niagara Parks Botanical Garden
2022-0490,2022-0490.88,Fagaceae,Quercus,Quercus sadleriana,Quercus sadleriana,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Near threatened,,,9.0,6.0,6.0,2.0,"USA: California, Siskiyou County, Klamath National Forest, on slope north of Forest Service Road 47N72, 0.25 miles from intersection with Forest Service Road 47N70, 1344 m, 41.91073671 | -123.0906444",Shrub,,Quercus sadleriana R.Br.ter,49.249515,-123.234415,"Klamath National Forest, on slope north of Forest Service Road 47N72, 0.25 miles from intersection with Forest Service Road 47N70"
2022-0498,2022-0498.88,Fagaceae,Quercus,Quercus sadleriana,Quercus sadleriana,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Near threatened,,,9.0,6.0,6.0,2.0,"USA: California, Siskiyou County, Klamath National Forest, Stanshaw trailhead, 1476 m, 41.50075 | -123.44273",Shrub,,Quercus sadleriana R.Br.ter,49.249515,-123.234415,"Klamath National Forest, Stanshaw trailhead"
2022-0508,2022-0508.88,Fagaceae,Quercus,Quercus sadleriana,Quercus sadleriana,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Near threatened,,,9.0,6.0,6.0,2.0,"USA: California, Siskiyou County, Klamath National Forest, upslope from Forest Service Road 14N21, 1258 m, 41.55142 | -123.62979",Shrub,,Quercus sadleriana R.Br.ter,49.249515,-123.234415,"Klamath National Forest, upslope from Forest Service Road 14N21"
2022-0502,2022-0502.88,Fagaceae,Quercus,Quercus vacciniifolia,Quercus vacciniifolia,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,9.0,9.0,9.0,6.0,"USA: California, Siskiyou County, Klamath National Forest, off Forest Service Road 14N21 near intersection with 14N17, 1019 m, 41.54633 | -123.61367",Shrub,,Quercus vacciniifolia Kellogg,49.249515,-123.234415,"Klamath National Forest, off Forest Service Road 14N21 near intersection with 14N17"
2024-0272,2024-0272.88,Asteraceae,Rhodanthemum,Rhodanthemum arundanum,Rhodanthemum arundanum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,,,,,"MAR: Boulemane, Region Fès-Meknès, Outat el Haj, valley between Adrar Gueb er Rehal and Adrar bou Naseur, 1996 m",Herbaceous Perennial,leg. Vogt & al. 17636,"Rhodanthemum arundanum (Boiss.) B.H.Wilcox, K.Bremer & Humphries",49.249515,-123.234415,"Outat el Haj, valley between Adrar Gueb er Rehal and Adrar bou Naseur"
2023-0063,2023-0063.01,Ericaceae,Rhododendron,Rhododendron auritum,Rhododendron auritum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,9.0,11.0,6.0,6.0,,Shrub,,Rhododendron auritum Tagg,49.249515,-123.234415,
2022-0167,2022-0167.88,Ericaceae,Rhododendron,Rhododendron canadense,Rhododendron canadense,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,9.0,3.0,3.0,3.0,"CAN: Quebec, MRC Kamouraska, Saint-André-de-Kamouraska, 126 m, 47° 39' 3.03'' N | -69° 42' 56.75'' O",Shrub,tourbiere / bog,Rhododendron canadense (L.) Torr.,49.249515,-123.234415,Saint-André-de-Kamouraska
2019-0048,2019-0048.87,Ericaceae,Rhododendron,Rhododendron fortunei,Rhododendron fortunei subsp. discolor,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,9.0,9.0,8.0,8.0,"CHN: Hubei Province, Wufeng, Wufeng, Dulingshan, 1950 m, 30°08.430' N | 110°34.840' E",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron fortunei subsp. discolor (Franch.) D.F.Chamb.,49.249515,-123.234415,"Wufeng, Wufeng, Dulingshan"
2006-0211,2006-0211.88,Ericaceae,Rhododendron,Rhododendron liliiflorum,Rhododendron liliiflorum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,9.0,9.0,9.0,9.0,"CHN: Guizhou Province, not listed",Shrub or Tree,Original locality is batch imported on 2019 Aug 16;,Rhododendron liliiflorum H.Lév.,49.249515,-123.234415,not listed
2022-0531,2022-0531.88,Ericaceae,Rhododendron,Rhododendron macrophyllum,Rhododendron macrophyllum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,No Status SARA,Yellow-listed British Columbia,11.0,11.0,6.0,3.0,"USA: Oregon, Josephine County, Rogue River-Siskiyou National Forest, 0.3 miles down Babyfoot Lake Trailhead along trail, 1307 m, 42.21949 | -123.80031",Shrub,,Rhododendron macrophyllum D.Don ex G.Don,49.249515,-123.234415,"Rogue River-Siskiyou National Forest, 0.3 miles down Babyfoot Lake Trailhead along trail"
2023-0144,2023-0144.88,Ericaceae,Rhododendron,Rhododendron semibarbatum,Rhododendron semibarbatum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,Z,,,,11.0,11.0,6.0,5.0,"JPN: Honshu, Miyagi, Sendai",Shrub,,Rhododendron semibarbatum Maxim,49.249515,-123.234415,"Honshu, Miyagi, Sendai"
2023-0420,2023-0420.88,Anacardiaceae,Rhus,Rhus aromatica,Rhus aromatica,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,11.0,11.0,11.0,"USA: California, Trinity County, Deerlick Springs Rd near Hwy3, above roadside on cutout ledge, 646 m, 40.61203 | -122.93755",Shrub,,Rhus aromatica Aiton,49.249515,-123.234415,"Deerlick Springs Rd near Hwy3, above roadside on cutout ledge"
2023-0507,2023-0507.88,Grossulariaceae,Ribes,Ribes binominatum,Ribes binominatum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,,,,,"USA: California, Trinity County, Shasta-Trinity National Forest, south fork of Coffee Creek , sw corner of bridge on Coffee Creek road, on bank down to creek, 1366 m, 41.12636 | -122.91505",Shrub,,Ribes binominatum A.Heller,49.249515,-123.234415,"Shasta-Trinity National Forest, south fork of Coffee Creek , sw corner of bridge on Coffee Creek road, on bank down to creek"
2023-0511,2023-0511.88,Grossulariaceae,Ribes,Ribes roezlii,Ribes roezlii,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,,,,,"USA: California, Trinity County, Shasta-Trinity National Forest, Forest Rte 4N16, 1358 m, 40.6713 | -123.20261",Shrub,,Ribes roezlii Regel,49.249515,-123.234415,"Shasta-Trinity National Forest, Forest Rte 4N16"
1973-0283,1973-0283.88,Grossulariaceae,Ribes,Ribes sanguineum,Ribes sanguineum 'White Icicle',8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,11.0,8.0,6.0,6.0,,Shrub,,Ribes sanguineum Pursh 'White Icicle',49.249515,-123.234415,
2022-0526,2022-0526.88,Grossulariaceae,Ribes,Ribes sanguineum,Ribes sanguineum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,8.0,6.0,6.0,"USA: Oregon, Josephine County, Rogue River-Siskiyou National Forest, roadside off NF-4201, 871 m, 42.24618 | -123.72645",Shrub,,Ribes sanguineum Pursh,49.249515,-123.234415,"Rogue River-Siskiyou National Forest, roadside off NF-4201"
2024-0628,2024-0628.88,Brassicaceae,Rorippa,Rorippa crystallina,Rorippa crystallina,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,,,,,"CAN: Northwest Territories, South Slave Region, X0E",Herbaceous Perennial,,Rorippa crystallina Rollins,49.249515,-123.234415,X0E
2022-0529,2022-0529.88,Fabaceae,Rupertia,Rupertia physodes,Rupertia physodes,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,Yellow-listed British Columbia,8.0,11.0,11.0,8.0,"USA: Oregon, Josephine County, Rogue River-Siskiyou National Forest, roadside off NF-4201, 938 m, 42.24618 | -123.72645",Herbaceous Perennial,,Rupertia physodes,49.249515,-123.234415,"Rogue River-Siskiyou National Forest, roadside off NF-4201"
2023-0409,2023-0409.88,Viburnaceae,Sambucus,Sambucus mexicana,Sambucus mexicana,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,Yellow-listed British Columbia,5.0,8.0,11.0,11.0,"USA: California, Trinity County, Shasta-Trinity National Forest, Coffee Creek Road, north side of road,uphill on slope, 1394 m, 41.1214 | -122.92422",Shrub,,Sambucus mexicana C.Presl ex DC.,49.249515,-123.234415,"Shasta-Trinity National Forest, Coffee Creek Road, north side of road,uphill on slope"
2020-0584,2020-0584.88,Lauraceae,Sassafras,Sassafras albidum,Sassafras albidum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,11.0,11.0,8.0,"CAN: Ontario, City of Hamilton, Beverly Swamp trail in Flamburough, 43.349492 | -80.111726",Tree,,Sassafras albidum (Nutt.) Nees,49.249515,-123.234415,Beverly Swamp trail in Flamburough
2022-0604,2022-0604.87,Rosaceae,Scandosorbus,Scandosorbus intermedia,Scandosorbus intermedia,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,9.0,2.0,2.0,2.0,,Tree,,Scandosorbus intermedia (Ehrh.) Sennikov,49.249515,-123.234415,
2022-0099,2022-0099.87,Smilacaceae,Smilax,Smilax rotundifolia,Smilax rotundifolia,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,11.0,11.0,11.0,"USA: Connecticut, New Haven County, Madison, summer Hill Rd west, 108 m",Climber_Liana_Vine,,Smilax rotundifolia L.,49.249515,-123.234415,"Madison, summer Hill Rd west"
2022-0099,2022-0099.88,Smilacaceae,Smilax,Smilax rotundifolia,Smilax rotundifolia,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,11.0,11.0,11.0,"USA: Connecticut, New Haven County, Madison, summer Hill Rd west, 108 m",Climber_Liana_Vine,,Smilax rotundifolia L.,49.249515,-123.234415,"Madison, summer Hill Rd west"
2023-0310,2023-0310.88,Asteraceae,Solidago,Solidago virgaurea,Solidago virgaurea,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,U,,,,9.0,9.0,6.0,3.0,,Herbaceous Perennial,,Solidago virgaurea L.,49.249515,-123.234415,
2022-0321,2022-0321.88,Fabaceae,Sophora,Sophora davidii,Sophora davidii,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,11.0,11.0,11.0,11.0,,Shrub,,Sophora davidii (Franch.) Skeels,49.249515,-123.234415,
2022-0175,2022-0175.88,Poaceae,Sporobolus,Sporobolus heterolepis,Sporobolus heterolepis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,9.0,6.0,5.0,"CAN: Quebec, MRC Vaudreuil-Soulanges, Ile des Cascades, 21 m, 45° 19' 41.20'' N | -73° 56' 38.15''",Herbaceous Perennial,,Sporobolus heterolepis (A.Gray) A.Gray,49.249515,-123.234415,Ile des Cascades
2023-0161,2023-0161.88,Styracaceae,Styrax,Styrax formosanus,Styrax formosanus,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,Z,,,,,,,,,Shrub or Tree,,Styrax formosanus Matsum.,49.249515,-123.234415,
2023-0390,2023-0390.88,Styracaceae,Styrax,Styrax redivivus,Styrax redivivus,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,3.0,6.0,11.0,11.0,"USA: California, Shasta County, Shasta-Trinity National Forest, Waters Gulch trail, 330 m, 40.78436 | -122.34338",Shrub,,Styrax redivivus (Torr.) L.C.Wheeler,49.249515,-123.234415,"Shasta-Trinity National Forest, Waters Gulch trail"
2023-0298,2023-0298.88,Asteraceae,Symphyotrichum,Symphyotrichum oblongifolium,Symphyotrichum oblongifolium,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,U,,,,11.0,11.0,11.0,8.0,,Shrub,,Symphyotrichum oblongifolium (Nutt.) G.L.Nesom,49.249515,-123.234415,
2024-0377,2024-0377.88,Ranunculaceae,Thalictrum,Thalictrum dasycarpum,Thalictrum dasycarpum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,Blue listed British Columbia,,,,,"CAN: British Columbia, Kootenay Boundary Regional District, ""Placer Site"", Pend d'Orielle Valley, 49.020424 | -117.533474",Herbaceous Perennial,,"Thalictrum dasycarpum Fisch., C.A.Mey. & Avé-Lall.",49.249515,-123.234415,"""Placer Site"", Pend d'Orielle Valley"
2024-0142,2024-0142.88,Saxifragaceae,Tiarella,Tiarella nautila,Tiarella nautila,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,Z,,,,,,,,"USA: Georgia, Gilmer County, NW of Elijay (2018-06-07), 143 m, 34.77006 | -84.58898",Herbaceous Perennial,,Tiarella nautila G.L.Nesom,49.249515,-123.234415,NW of Elijay (2018-06-07)
2024-0199,2024-0199.88,Saxifragaceae,Tiarella,Tiarella polyphylla,Tiarella polyphylla,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,Z,,,,,,,,"CHN: Sichuan Province, Dayi County, Xiling (Xue Shan) Mnt., Chengdu City, 1650 m",Herbaceous Perennial,,Tiarella polyphylla D.Don,49.249515,-123.234415,"Xiling (Xue Shan) Mnt., Chengdu City"
2021-0818,2021-0818.86,Lamiaceae,Trichostema,Trichostema lanatum,Trichostema lanatum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,3.0,5.0,11.0,11.0,"USA: California, Santa Barbara County, Los Padres National Forest, E. Camino Cielo",Herbaceous Perennial,,Trichostema lanatum Benth.,49.249515,-123.234415,"Los Padres National Forest, E. Camino Cielo"
2021-0818,2021-0818.87,Lamiaceae,Trichostema,Trichostema lanatum,Trichostema lanatum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,3.0,5.0,11.0,11.0,"USA: California, Santa Barbara County, Los Padres National Forest, E. Camino Cielo",Herbaceous Perennial,,Trichostema lanatum Benth.,49.249515,-123.234415,"Los Padres National Forest, E. Camino Cielo"
2021-0818,2021-0818.88,Lamiaceae,Trichostema,Trichostema lanatum,Trichostema lanatum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,3.0,5.0,11.0,11.0,"USA: California, Santa Barbara County, Los Padres National Forest, E. Camino Cielo",Herbaceous Perennial,,Trichostema lanatum Benth.,49.249515,-123.234415,"Los Padres National Forest, E. Camino Cielo"
2023-0363,2023-0363.88,Fabaceae,Trifolium,Trifolium rubens,Trifolium rubens,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,11.0,8.0,5.0,3.0,,Herbaceous Perennial,,Trifolium rubens L.,49.249515,-123.234415,
2023-0162,2023-0162.88,Celastraceae,Tripterygium,Tripterygium wilfordii,Tripterygium wilfordii,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,11.0,11.0,11.0,11.0,,Shrub,,Tripterygium wilfordii Hook.f.,49.249515,-123.234415,
2023-0364,2023-0364.88,Asparagaceae,Triteleia,Triteleia laxa,Triteleia laxa,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,9.0,9.0,11.0,11.0,,Herbaceous Perennial,,Triteleia laxa Benth.,49.249515,-123.234415,
2022-0489,2022-0489.88,Lauraceae,Umbellularia,Umbellularia californica,Umbellularia californica,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,9.0,9.0,11.0,11.0,"USA: Oregon, Josephine County, Rogue-River Siskiyou National Forest, Waldo/Grayback/Indian Creek Road, south of road along roadside ridge, 782 m, 42.06106738 | -123.576888",Tree,,Umbellularia californica (Hook. & Arn.) Nutt.,49.249515,-123.234415,"Rogue-River Siskiyou National Forest, Waldo/Grayback/Indian Creek Road, south of road along roadside ridge"
2023-0438,2023-0438.88,Ericaceae,Vaccinium,Vaccinium ovatum,Vaccinium ovatum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,Yellow-listed British Columbia,11.0,11.0,8.0,6.0,"USA: California, Humboldt County, Six Rivers National Forest, Snow Camp road edge, 738 m, 40.91897 | -123.86421",Shrub,,Vaccinium ovatum Pursh,49.249515,-123.234415,"Six Rivers National Forest, Snow Camp road edge"
2023-0430,2023-0430.88,Ericaceae,Vaccinium,Vaccinium scoparium,Vaccinium scoparium,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,Yellow-listed British Columbia,,,,,"USA: California, Humboldt County, Six Rivers National Forest, Horse Mountain Botanical Area, north of radio tower, 1463 m, 40.87521 | -123.7302",Shrub,,Vaccinium scoparium Leiberg ex Coville,49.249515,-123.234415,"Six Rivers National Forest, Horse Mountain Botanical Area, north of radio tower"
2022-0432,2022-0432.88,Viburnaceae,Viburnum,Viburnum erosum,Viburnum erosum var. taquetii,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,9.0,9.0,9.0,6.0,,Shrub,,Viburnum erosum var. taquetii H.Léveillé; Rehder,49.249515,-123.234415,
2015-0255,2015-0255.88,Araucariaceae,Wollemia,Wollemia nobilis,Wollemia nobilis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,Critically Endangered,,,9.0,11.0,11.0,11.0,,Tree,,"Wollemia nobilis W.G.Jones, K.D.Hill & J.M.Allen",49.249515,-123.234415,
2023-0431,2023-0431.88,Melanthiaceae,Xerophyllum,Xerophyllum tenax,Xerophyllum tenax,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,Yellow-listed British Columbia,9.0,9.0,9.0,3.0,"USA: California, Humboldt County, Six Rivers National Forest, Horse Mountain Botanical Area, north of radio tower, 1463 m, 40.87521 | -123.7302",Herbaceous Perennial,,Xerophyllum tenax (Pursh) Nutt.,49.249515,-123.234415,"Six Rivers National Forest, Horse Mountain Botanical Area, north of radio tower"
2023-0386,2023-0386.88,Amaryllidaceae,Zephyranthes,Zephyranthes drummondii,Zephyranthes drummondii,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,,,,,,Herbaceous Perennial,,Zephyranthes drummondii D.Don,49.249515,-123.234415,
2019-1073,2019-1073.04,Sapindaceae,Acer,Acer circinatum,Acer circinatum,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,Least concern,,Yellow-listed British Columbia,11.0,8.0,6.0,3.0,"CAN: British Columbia, Fraser Valley Regional District, Base of Mount Cheam, 560 m, 49.110403 | -121.648653",Shrub or Tree,,Acer circinatum Pursh,49.253969,-123.244192,Base of Mount Cheam
2023-0458,2023-0458.02,Cupressaceae,Callitropsis,Callitropsis nootkatensis,Callitropsis nootkatensis,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,,,,9.0,6.0,6.0,3.0,,Tree,,Callitropsis nootkatensis (D.Don) Oerst.,49.253969,-123.244192,
2023-0458,2023-0458.03,Cupressaceae,Callitropsis,Callitropsis nootkatensis,Callitropsis nootkatensis,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,,,,9.0,6.0,6.0,3.0,,Tree,,Callitropsis nootkatensis (D.Don) Oerst.,49.253969,-123.244192,
2023-0458,2023-0458.04,Cupressaceae,Callitropsis,Callitropsis nootkatensis,Callitropsis nootkatensis,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,,,,9.0,6.0,6.0,3.0,,Tree,,Callitropsis nootkatensis (D.Don) Oerst.,49.253969,-123.244192,
2023-0458,2023-0458.05,Cupressaceae,Callitropsis,Callitropsis nootkatensis,Callitropsis nootkatensis,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,,,,9.0,6.0,6.0,3.0,,Tree,,Callitropsis nootkatensis (D.Don) Oerst.,49.253969,-123.244192,
2023-0458,2023-0458.06,Cupressaceae,Callitropsis,Callitropsis nootkatensis,Callitropsis nootkatensis,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,,,,9.0,6.0,6.0,3.0,,Tree,,Callitropsis nootkatensis (D.Don) Oerst.,49.253969,-123.244192,
2023-0458,2023-0458.07,Cupressaceae,Callitropsis,Callitropsis nootkatensis,Callitropsis nootkatensis,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,,,,9.0,6.0,6.0,3.0,,Tree,,Callitropsis nootkatensis (D.Don) Oerst.,49.253969,-123.244192,
2023-0458,2023-0458.08,Cupressaceae,Callitropsis,Callitropsis nootkatensis,Callitropsis nootkatensis,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,,,,9.0,6.0,6.0,3.0,,Tree,,Callitropsis nootkatensis (D.Don) Oerst.,49.253969,-123.244192,
2023-0458,2023-0458.09,Cupressaceae,Callitropsis,Callitropsis nootkatensis,Callitropsis nootkatensis,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,,,,9.0,6.0,6.0,3.0,,Tree,,Callitropsis nootkatensis (D.Don) Oerst.,49.253969,-123.244192,
2023-0458,2023-0458.10,Cupressaceae,Callitropsis,Callitropsis nootkatensis,Callitropsis nootkatensis,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,,,,9.0,6.0,6.0,3.0,,Tree,,Callitropsis nootkatensis (D.Don) Oerst.,49.253969,-123.244192,
2006-0396,2006-0396.03,Asparagaceae,Maianthemum,Maianthemum racemosum,Maianthemum racemosum subsp. amplexicaule,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,G,,,Yellow-listed British Columbia,11.0,11.0,8.0,5.0,,Herbaceous Perennial,,Maianthemum racemosum (L.) subsp. amplexicaule (Nutt.) LaFrankie,49.253969,-123.244192,
2023-0180,2023-0180.03,Liliaceae,Prosartes,Prosartes smithii,Prosartes smithii,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,U,,,Blue listed British Columbia,11.0,11.0,6.0,3.0,,Herbaceous Perennial,,"Prosartes smithii (Hook.) Utech, Shinwari & Kawano",49.253969,-123.244192,
1975-0727,1975-0727.08,Ericaceae,Rhododendron,Rhododendron macrophyllum,Rhododendron macrophyllum,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,Least concern,No Status SARA,Yellow-listed British Columbia,11.0,11.0,6.0,3.0,"CAN: British Columbia, Fraser Valley Regional District, Ross Lk.Rd., Hope. above river on hillside under conifers, 305 m, 49 10 | -121 20",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron macrophyllum D.Don ex G.Don,49.253969,-123.244192,"Ross Lk.Rd., Hope. above river on hillside under conifers"
1994-0015,1994-0015.06,Rosaceae,Rubus,Rubus spectabilis,Rubus spectabilis Double Flowered Group,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,G,,,,11.0,6.0,6.0,3.0,,Shrub,,Rubus spectabilis Pursh Double Flowered Group,49.253969,-123.244192,
1994-0015,1994-0015.07,Rosaceae,Rubus,Rubus spectabilis,Rubus spectabilis Double Flowered Group,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,G,,,,11.0,6.0,6.0,3.0,,Shrub,,Rubus spectabilis Pursh Double Flowered Group,49.253969,-123.244192,
2023-0459,2023-0459.02,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.253969,-123.244192,
2023-0459,2023-0459.03,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.253969,-123.244192,
2023-0459,2023-0459.04,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.253969,-123.244192,
2023-0459,2023-0459.05,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,1B13,Rain Forest Garden,49.253969,-123.244192,,Planting,W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.253969,-123.244192,
