taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree,obs_record1,obs_record2,obs_record3,obs_record4,obs_record5
Actaea simplex,15.3,5,7.87362,23.85,-1.89167,1044,151.75,FALSE,GBIF_CURRENT=1891,MODEL=,PLANTSEARCH=30,,
Actinidia arguta,15.3,5,10.2556,25.85,0.191667,1073.5,131.5,FALSE,GBIF_CURRENT=2878,MODEL=,PLANTSEARCH=118,,
Actinidia callosa,15.3,11,14.5958,26.5,5.51667,1125.25,120.5,FALSE,GBIF_CURRENT=790,MODEL=,PLANTSEARCH=24,,
Actinidia chinensis,15.3,11,11.816,24.575,4.16667,1073.75,154,FALSE,GBIF_CURRENT=1486,MODEL=,PLANTSEARCH=80,,
Actinidia hemsleyana,15.3,8,16.3389,31.025,4.74583,1238.5,162.25,FALSE,GBIF_CURRENT=54,MODEL=,PLANTSEARCH=5,,
Actinidia kolomikta,15.3,5,7.34722,24,-2.13333,971.75,126.5,FALSE,GBIF_CURRENT=1381,MODEL=,PLANTSEARCH=125,,
Actinidia melanandra,15.3,11,13.6507,27,3.4375,960,105.25,FALSE,GBIF_CURRENT=155,MODEL=,PLANTSEARCH=33,,
Actinidia polygama,15.3,5,10.125,25.875,0.145833,1095.5,139.5,FALSE,GBIF_CURRENT=1975,MODEL=,PLANTSEARCH=61,,
Actinidia rufa,15.3,8,15.3222,27.55,7.54167,1728.5,254.5,FALSE,GBIF_CURRENT=408,MODEL=,PLANTSEARCH=11,,
Adenocaulon bicolor,15.3,2,10.9944,25.025,4,955.5,94.75,FALSE,GBIF_CURRENT=5376,MODEL=,PLANTSEARCH=11,,
Adiantum aleuticum,15.3,3,9.83194,23.2,3.925,1241.75,143,FALSE,GBIF_CURRENT=9042,MODEL=,PLANTSEARCH=40,,
Adiantum capillus-veneris,15.3,11,15.0111,28.85,7.27083,813.75,117,FALSE,GBIF_CURRENT=9282,MODEL=,PLANTSEARCH=129,,
Adiantum pedatum,15.3,6,8.93333,27.3,-1.63333,1006.5,188,FALSE,GBIF_CURRENT=9653,MODEL=,PLANTSEARCH=149,,
Adiantum shastense,15.3,11,14.6326,30.1,8.06667,1120,24.5,FALSE,GBIF_CURRENT=157,MODEL=,PLANTSEARCH=3,,
Adiantum venustum,15.3,11,9.74583,23.225,2.08333,763.5,87.25,FALSE,GBIF_CURRENT=227,MODEL=,PLANTSEARCH=76,,
Aethionema grandiflorum,15.3,5,9.54167,26.25,-0.391667,656.5,90,FALSE,GBIF_CURRENT=64,MODEL=,PLANTSEARCH=59,,
Aethionema saxatile,15.3,6,10.5222,25.65,2.71667,760.75,134,FALSE,GBIF_CURRENT=3808,MODEL=,PLANTSEARCH=52,,
Aethionema schistosum,15.3,11,12.4736,29.65,2.05417,693.25,75,FALSE,GBIF_CURRENT=5,MODEL=,PLANTSEARCH=28,,
Agapanthus campanulatus,15.3,11,12.9368,23.8,6.80833,813.5,98.5,FALSE,GBIF_CURRENT=220,MODEL=,PLANTSEARCH=37,,
Agapanthus coddii,15.3,11,15.2472,25.65,8.43333,678.5,84.5,FALSE,GBIF_CURRENT=6,MODEL=,PLANTSEARCH=12,,
Agastache aurantiaca,15.3,11,11.7674,25.475,6.03333,781.75,83.5,FALSE,GBIF_CURRENT=51,MODEL=,PLANTSEARCH=16,,
Agastache nepetoides,15.3,6,10.6403,28.7,-0.170833,933.75,169,FALSE,GBIF_CURRENT=1279,MODEL=,PLANTSEARCH=40,,
Agastache rupestris,15.3,11,12.0764,29.2,3.825,684.25,98,FALSE,GBIF_CURRENT=32,MODEL=,PLANTSEARCH=39,,
Agastache urticifolia,15.3,6,6.81807,25.4,-0.908333,634,102.5,FALSE,GBIF_CURRENT=2852,MODEL=,PLANTSEARCH=25,,
Agave bracteosa,15.3,9,17.1917,29.275,9.71667,589.75,83.5,FALSE,GBIF_CURRENT=31,MODEL=,PLANTSEARCH=85,,
Agave gentryi,15.3,11,14.8847,27.375,11.2,541,36.75,FALSE,GBIF_CURRENT=298,MODEL=,PLANTSEARCH=14,,
Agave parryi,15.3,11,13.3694,28.75,4.95,613.5,83.5,FALSE,GBIF_CURRENT=1933,MODEL=,PLANTSEARCH=108,,
Agave stricta,15.3,9,17.475,28.85,11.5417,629,70.5,FALSE,GBIF_CURRENT=72,MODEL=,PLANTSEARCH=100,,
Agave toumeyana,15.3,11,15.5486,30.8,7.025,608.5,84.5,FALSE,GBIF_CURRENT=109,MODEL=,PLANTSEARCH=29,,
Agave virginica,15.3,11,14.4458,30.1,4.79167,1169,233.5,FALSE,GBIF_CURRENT=1313,MODEL=,PLANTSEARCH=9,,
Ageratina altissima,15.3,5,10.1361,27.525,0.0333325,931.5,180.5,FALSE,GBIF_CURRENT=9834,MODEL=,PLANTSEARCH=56,,
Agrimonia eupatoria,15.3,6,9.46042,23.95,2.07083,719,133.5,FALSE,GBIF_CURRENT=7292,MODEL=,PLANTSEARCH=136,,
Ajuga reptans,15.3,6,9.42638,23.85,1.94583,821,150.5,FALSE,GBIF_CURRENT=7945,MODEL=,PLANTSEARCH=139,,
Akebia longeracemosa,15.3,11,16.0542,26.1,9.33333,1638.5,150.5,FALSE,GBIF_CURRENT=322,MODEL=,PLANTSEARCH=11,,
Akebia quinata,15.3,8,11.5264,26.75,2.46667,1077,156.5,FALSE,GBIF_CURRENT=4845,MODEL=,PLANTSEARCH=177,,
Akebia trifoliata,15.3,11,12.391,26.225,3.7375,1203.25,159.5,FALSE,GBIF_CURRENT=2425,MODEL=,PLANTSEARCH=51,,
Albuca humilis,15.3,8,10.7868,22.225,5.04583,829.75,101,FALSE,GBIF_CURRENT=33,MODEL=,PLANTSEARCH=27,,
Albuca nelsonii,15.3,9,15.2903,24.8,9.09167,805.5,110,FALSE,GBIF_CURRENT=39,MODEL=,PLANTSEARCH=35,,
Alcea rosea,15.3,6,10.1056,24.1,3.05833,756.5,136.5,FALSE,GBIF_CURRENT=8601,MODEL=,PLANTSEARCH=110,,
Alcea rugosa,15.3,3,10.0097,25.85,0.704167,653.75,128.75,FALSE,GBIF_CURRENT=1365,MODEL=,PLANTSEARCH=49,,
Alchemilla alpina,15.3,3,5.33194,19.2,-0.600002,1041,183,FALSE,GBIF_CURRENT=9021,MODEL=,PLANTSEARCH=93,,
Alchemilla erythropoda,15.3,3,6.51667,22.975,-2.5625,719,127.75,FALSE,GBIF_CURRENT=50,MODEL=,PLANTSEARCH=62,,
Alchemilla lithophila,15.3,2,5.3875,19.2,-3.28333,847,169,FALSE,GBIF_CURRENT=10,MODEL=,PLANTSEARCH=1,,
Alchemilla mollis,15.3,3,9.36944,23.125,1.8625,825,157,FALSE,GBIF_CURRENT=8266,MODEL=,PLANTSEARCH=158,,
